,reasoning,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,,87.56478815227167,88.11638881322394,87.9998654127121,88.17390397022537,85.34572083287257,86.67650845960691,86.6495693243701,86.70267744342138,88.17390397022537,8_examples_with_definition
1,Abductive Reasoning,88.40387380123138,87.48702466487885,88.37795805931091,88.36133080720901,86.56886523962021,86.20746463537216,86.82358312606812,87.08178853988647,88.40387380123138,0_examples_with_definition
2,Analogical Reasoning,88.38436101542578,88.31474244594574,88.49798611799876,88.6476897266176,85.70927815967136,84.52614915370941,84.80143958992429,84.78857175509135,88.6476897266176,8_examples_with_definition
3,Causal Reasoning,85.17893227934837,84.59130658209324,84.93125505745411,85.06703990697861,82.32389552891254,84.1068764179945,83.71097035706043,83.7513549476862,85.17893227934837,0_examples_with_definition
4,Commonsense Reasoning,88.72613376776377,88.79833592176438,88.84687922000884,88.95687971909841,84.64258354504904,85.67332170406978,85.96912291447322,86.10996305545171,88.95687971909841,8_examples_with_definition
5,Cross-document Reasoning,84.96025449037552,92.9400942325592,92.34298712015152,91.88189315795898,83.81970608234406,88.13828498125076,91.6863249540329,91.39505970478058,92.9400942325592,2_examples_with_definition
6,Deductive Reasoning,85.47393423318863,87.9536606669426,89.78126990795135,89.6127592921257,84.83867454528809,83.55638736486435,84.65057265758514,84.4524097442627,89.78126990795135,4_examples_with_definition
7,Discrete Reasoning,84.96025449037552,92.9400942325592,92.34298712015152,91.88189315795898,83.81970608234406,88.13828498125076,91.6863249540329,91.39505970478058,92.9400942325592,2_examples_with_definition
8,Logical Reasoning,86.12868082523346,83.24532008171082,83.18284702301025,83.47626304626465,78.95071876049042,80.28307402133942,80.49397480487823,79.84556663036346,86.12868082523346,0_examples_with_definition
9,Multihop Reasoning,83.38770492682382,92.9400942325592,92.34298712015152,91.88189315795898,83.03362594710455,88.13828498125076,91.6863249540329,91.39505970478058,92.9400942325592,2_examples_with_definition
10,Numerical Reasoning,84.96025449037552,92.9400942325592,92.34298712015152,91.88189315795898,83.81970608234406,88.13828498125076,91.6863249540329,91.39505970478058,92.9400942325592,2_examples_with_definition
11,Quantitative Reasoning,83.14247671763103,83.60280533631642,84.10364019870758,84.59395690759023,79.20002448558807,81.79654343922932,80.64792557557423,80.750989874204,84.59395690759023,8_examples_with_definition
12,Reasoning on Actions,87.18275423844655,85.65565991401672,85.3302040497462,85.13071008523305,83.2630177338918,84.01400033632915,83.8722620010376,84.23764050006866,87.18275423844655,0_examples_with_definition
13,Reasoning on Objects,91.81183564662933,90.02936923503876,89.86475539207458,89.8967432975769,88.69179511070251,89.7233247756958,89.79523956775665,90.19006586074829,91.81183564662933,0_examples_with_definition
14,Reasoning on Social Interactions,84.93837365082332,87.60596774305615,86.78233873844147,87.02904147761208,81.75515285560063,83.70170148781368,83.87752262183598,83.98112681933812,87.60596774305615,2_examples_with_definition
15,Relational Reasoning,87.81849623810162,87.67302146824923,87.87080811370502,87.98281393267892,85.35490101033992,84.48484340581027,84.69751772013578,84.67471633174203,87.98281393267892,8_examples_with_definition
16,Temporal Reasoning,88.01199018955231,93.10319070021312,92.7109220425288,92.37334561347961,86.78935424486797,90.00711818536122,92.37060634295146,92.17874558766682,93.10319070021312,2_examples_with_definition
17,Textual Entailment,88.59191512564819,87.68306780854861,87.79947729905446,87.7780708471934,83.7523572742939,86.20101674894492,86.71453626453876,86.7549074391524,88.59191512564819,0_examples_with_definition
