domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Fiction,91.08249805654798,91.08249969141823,91.08249831199646
Books,89.99664107958476,89.99664350350697,89.99664262930553
Economics,84.86795806884766,84.86795461177826,84.86795496940613
Law,90.08462696416038,90.08462796892438,90.08462645326343
Government and Politics,88.49403394758701,88.49403427541256,88.49403318762779
History,91.53108943998814,91.53109055757523,91.5310894548893
Computer Science,86.03629064559937,86.03629064559937,86.03629112243652
Natural Science,84.96330007910728,84.96329668164253,84.96330037713051
Nutrition,93.36509954929352,93.36509680747986,93.36509704589844
Food,89.15867513418198,89.15867412090302,89.15867441892624
Social Media,91.58996343612671,91.58996248245239,91.58996146917343
News,88.51960387001647,88.51960369564117,88.51960393342566
