reasoning,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Causal Reasoning,45.81561556458473,46.010374411940575,46.010374411940575
Analogical Reasoning,82.21334505081177,82.52952077653673,82.52952077653673
Commonsense Reasoning,65.27663189172745,65.391568171978,65.391568171978
Deductive Reasoning,43.96497958898544,42.80376362800598,42.80376362800598
Abductive Reasoning,82.56136643886566,82.45927494764328,82.45927494764328
Logical Reasoning,0.0,0.0,0.0
Multihop Reasoning,90.71074213300433,90.69938574518476,90.69938574518476
Cross-document Reasoning,91.94207227230072,91.91573792695999,91.91573792695999
Quantitative Reasoning,49.21313269933065,49.18531799316406,49.18531799316406
Temporal Reasoning,61.29471484820048,61.27715861797333,61.27715861797333
