reasoning,Gemma-2B-I,Phi-3-mini-128k-I,Mistral-7B-I,Gemma-7B-I,Llama-3-8B-I,best_model
,88.17390397022537,67.46866142520538,92.8920833491362,85.52035158184859,84.60291612148285,Mistral-7B-I
Abductive Reasoning,88.40387380123138,82.56136643886566,91.35977351665497,87.53971099853516,87.42506337165833,Mistral-7B-I
Analogical Reasoning,88.6476897266176,82.21334505081177,89.14760200182597,85.31541244188945,81.91921373208363,Mistral-7B-I
Causal Reasoning,85.17893227934837,60.10545666515827,93.34832210838795,84.78244036436081,84.65214921534061,Mistral-7B-I
Commonsense Reasoning,88.95687971909841,65.27663189172745,94.31147108475368,85.06833712259929,83.89464337031046,Mistral-7B-I
Cross-document Reasoning,92.9400942325592,91.94207227230072,95.32736587524414,84.15302884578705,84.73400688171387,Mistral-7B-I
Deductive Reasoning,89.78126990795135,60.12657833099365,92.70095354318619,83.72627824544907,84.48930811882019,Mistral-7B-I
Discrete Reasoning,92.9400942325592,91.94207227230072,95.32736587524414,84.15302884578705,84.73400688171387,Mistral-7B-I
Logical Reasoning,86.12868082523346,26.96509039402008,96.18955373764038,81.19459736347198,80.49853682518005,Mistral-7B-I
Multihop Reasoning,92.9400942325592,90.71074213300433,94.10632224310012,83.21987712194048,83.81837734154293,Mistral-7B-I
Numerical Reasoning,92.9400942325592,91.94207227230072,95.32736587524414,84.15302884578705,84.73400688171387,Mistral-7B-I
Quantitative Reasoning,84.59395690759023,67.93761670589447,93.96079607804616,84.80022076765697,84.45851806799571,Mistral-7B-I
Reasoning on Actions,87.18275423844655,74.77179177602132,92.30648036797841,86.02770805358887,85.11655231316884,Mistral-7B-I
Reasoning on Objects,91.81183564662933,88.86665725708008,93.08050262928009,87.16287660598755,87.67861807346344,Mistral-7B-I
Reasoning on Social Interactions,87.60596774305615,64.95431898321424,93.90870606899261,84.52271594320025,84.33442309924534,Mistral-7B-I
Relational Reasoning,87.98281393267892,80.04261002757333,88.80244597521695,85.08277266675776,82.3639307347211,Mistral-7B-I
Temporal Reasoning,93.10319070021312,61.29471484820048,96.39762941996257,86.78324194749196,87.60688392321269,Mistral-7B-I
Textual Entailment,88.59191512564819,60.13546713689963,97.0699841628472,85.20276586711407,85.00828241805236,Mistral-7B-I
