reasoning,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Causal Reasoning,84.78244036436081,84.79861102998257,84.79861102998257
Analogical Reasoning,84.62444376945496,84.56534010834164,84.56534010834164
Commonsense Reasoning,85.06833712259929,85.0657231926918,85.0657231926918
Deductive Reasoning,83.72627824544907,83.79009902477264,83.79009902477264
Abductive Reasoning,86.66970717906952,86.8194050192833,86.8194050192833
Logical Reasoning,81.19459736347198,81.1772689819336,81.1772689819336
Multihop Reasoning,83.21987712194048,83.30366034356375,83.30366034356375
Cross-document Reasoning,84.15302884578705,84.17583692073822,84.17583692073822
Quantitative Reasoning,84.80022076765697,84.85995864868164,84.85995864868164
Temporal Reasoning,86.78324194749196,86.7795882622401,86.7795882622401
