,reasoning,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,,85.11201523157409,85.72721158646029,86.34695423487122,86.23285580769495,82.63329412716236,83.54757047558435,83.49020702783717,83.4375747874177,86.34695423487122,4_examples_with_definition
1,Abductive Reasoning,83.36059612035751,85.97259598970413,86.66934567689896,87.57676726579666,83.37510520219803,85.06715852022171,85.2690532207489,87.51501989364624,87.57676726579666,8_examples_with_definition
2,Analogical Reasoning,82.5737224817276,83.01695672671,82.74859645631578,82.8396829366684,82.55315474669139,81.28659898704953,80.7647619512346,80.94547180334727,83.01695672671,2_examples_with_definition
3,Causal Reasoning,81.63799120485783,87.00377777218819,86.65739993751049,86.78446389734745,80.6766780167818,80.98366142809391,80.85418356955051,80.98964394629002,87.00377777218819,2_examples_with_definition
4,Commonsense Reasoning,84.90933603048325,86.90685210227966,86.85871717532476,86.64741035699845,82.08281998634338,81.37755392392476,80.08850855032603,80.29358831246694,86.90685210227966,2_examples_with_definition
5,Cross-document Reasoning,82.88531106710434,94.98493641614914,94.70580589771271,94.5692463517189,78.30855602025986,85.7251700758934,85.1278145313263,85.21059119701385,94.98493641614914,2_examples_with_definition
6,Deductive Reasoning,82.52483719587326,84.01397651433945,91.13729810714722,90.8511803150177,81.95727771520615,83.01234078407288,83.53141885995865,82.86957037448883,91.13729810714722,4_examples_with_definition
7,Discrete Reasoning,82.88531106710434,94.98493641614914,94.70580589771271,94.5692463517189,78.30855602025986,85.7251700758934,85.1278145313263,85.21059119701385,94.98493641614914,2_examples_with_definition
8,Logical Reasoning,83.57804644107819,79.84046065807343,80.49293327331543,80.8276230096817,79.03161442279816,78.4243129491806,77.92497408390045,75.84542894363403,83.57804644107819,0_examples_with_definition
9,Multihop Reasoning,81.8500029189246,94.98493641614914,94.70580589771271,94.5692463517189,78.41385882052164,85.7251700758934,85.1278145313263,85.21059119701385,94.98493641614914,2_examples_with_definition
10,Numerical Reasoning,82.88531106710434,94.98493641614914,94.70580589771271,94.5692463517189,78.30855602025986,85.7251700758934,85.1278145313263,85.21059119701385,94.98493641614914,2_examples_with_definition
11,Quantitative Reasoning,79.50418889522552,87.15292529265086,88.01101239522298,88.67049435774486,78.51491165161133,79.23025266329448,79.80388176441193,79.26452859242757,88.67049435774486,8_examples_with_definition
12,Reasoning on Actions,85.02603272596996,80.17320617039998,79.79245316982269,80.00758703549702,77.63910428682964,78.33016216754913,77.88855934143066,77.32862265904744,85.02603272596996,0_examples_with_definition
13,Reasoning on Objects,89.54143989086151,90.66775739192963,90.78547847270966,90.72632575035095,86.23739504814148,86.57376050949097,86.35646617412567,86.04528272151947,90.78547847270966,4_examples_with_definition
14,Reasoning on Social Interactions,83.76068782806396,84.55469875676292,84.62851102011544,84.25873821122306,78.7213522706713,72.02917206287384,73.01931428909302,72.64881731782641,84.62851102011544,4_examples_with_definition
15,Relational Reasoning,82.66079651225697,83.30612504482269,83.18305165117437,83.23675774444233,82.43460298668255,81.71891105175018,80.8716029362245,81.00341598554091,83.30612504482269,2_examples_with_definition
16,Temporal Reasoning,85.92091031869252,94.32175517082214,94.09732369581859,94.0157235066096,83.10706194241841,87.82122039794922,87.39019910494487,87.47853624820709,94.32175517082214,2_examples_with_definition
17,Textual Entailment,83.91443019111951,88.41511857012908,88.1744058628877,88.4150044520696,81.93054009477298,80.82703525324662,79.37591092288494,79.63868950307369,88.41511857012908,2_examples_with_definition
