,categories,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Answerability Classification,85.51809541078714,85.8400066449092,85.97555210040166,85.73093291429373,83.62967319671924,85.33877286544212,85.35539291455196,85.52195849785438,85.97555210040166,4_examples_with_definition
1,Cause Effect Classification,84.11307520525796,85.38991338866097,85.18309848649162,84.96062767505646,82.70766757215772,85.64371739115033,85.5550456387656,85.72744359288897,85.72744359288897,8_examples_without_definition
2,Coreference Resolution,83.2702808550426,82.69131893771035,82.32509107249123,82.2755298784801,82.197435600417,83.1305794290134,83.16630563565663,82.9165940795626,83.2702808550426,0_examples_with_definition
3,Data to Text,85.36983063803032,85.37032580431638,85.23525276654203,85.1215766489226,83.72112989705494,85.86752889022021,85.7885437252376,85.66299107432926,85.86752889022021,2_examples_without_definition
4,Dialogue Act Recognition,82.45611808981214,83.42807442801339,83.65900691917965,83.5471338714872,80.03857169832501,82.37833896705082,83.00909010001591,83.40366392476218,83.65900691917965,4_examples_with_definition
5,Grammar Error Correction,87.84132301807404,87.22399687767029,87.4720025062561,87.44480884075165,87.09834337234497,85.15900921821594,85.38173222541809,85.11513257026672,87.84132301807404,0_examples_with_definition
6,Keyword Tagging,83.29200325012206,83.6379215478897,83.18677191734314,83.29704627990722,82.55357103347778,83.28761875629425,83.2338749408722,83.06549780368805,83.6379215478897,2_examples_with_definition
7,Overlap Extraction,83.219511449337,83.32633781433105,83.49264693260193,83.8347218632698,82.8882651925087,83.1795266866684,83.24426412582397,82.93225514888763,83.8347218632698,8_examples_with_definition
8,Question Rewriting,86.35445138541135,85.52514309232885,84.94507520849055,84.74736935442144,85.6132763190703,86.85356040434404,86.08166098594666,86.63756128874692,86.85356040434404,2_examples_without_definition
9,Textual Entailment,83.97719380259514,84.19365452726682,84.28892435133457,84.27301988005638,80.92500597735246,84.04505139092605,84.31105515360832,84.40580403804779,84.40580403804779,8_examples_without_definition
10,Title Generation,83.94882011413574,83.45180863804288,83.5216708779335,83.41456915272607,84.4537052181032,84.44061623016994,84.03630699714024,84.09402043289609,84.4537052181032,0_examples_without_definition
11,Word Analogy,81.36477139592171,81.28652186691761,81.4438623636961,81.52806854248047,81.4854894131422,81.18901601433754,81.19957496225834,81.23605525493622,81.52806854248047,8_examples_with_definition
