,domains,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Anthropology,94.24960368871689,97.1401715874672,97.21748042106628,96.96568608283997,91.71284317970276,95.18337917327881,95.32031434774399,95.09730869531631,97.21748042106628,4_examples_with_definition
1,Books,89.99664107958476,95.8188871939977,96.13816686471303,96.136532386144,83.48939486344655,91.01521360874176,93.91104698181152,94.81273523966472,96.13816686471303,4_examples_with_definition
2,Captions,88.45010115419116,91.98307781560081,94.10691697256905,94.11082150254931,83.29392603465489,85.5147475685392,86.34148194108691,86.49691717965263,94.11082150254931,8_examples_with_definition
3,Code,96.35521042346954,98.61791038513184,98.69444370269775,99.10369062423706,80.91808331012726,95.57767057418823,96.81396150588989,96.83875668048859,99.10369062423706,8_examples_with_definition
4,Commonsense,89.66818507194519,92.8851581287384,94.03128448963166,94.01548255443574,84.49565403461456,87.53590023517609,89.09012680530549,89.33958423614501,94.03128448963166,4_examples_with_definition
5,Computer Science,86.03629064559937,88.6709817647934,88.92351508140564,88.8205075263977,85.36669790744781,87.71759581565857,88.11494565010071,87.63324642181396,88.92351508140564,4_examples_with_definition
6,Debatepedia,84.25398170948029,99.16673302650452,99.16673564910889,99.18104100227356,82.63419914245605,88.87885534763336,89.55344140529633,88.93529033660889,99.18104100227356,8_examples_with_definition
7,Dialogue,88.91111400880311,95.55732338679464,96.24556124837775,96.52946603298187,82.24080118380095,89.3104550712987,91.44076856186516,91.48959807973159,96.52946603298187,8_examples_with_definition
8,Economics,84.86795806884766,94.82295250892639,96.78260147571564,96.82146751880646,82.83262205123901,87.61840379238129,97.68883657455444,97.89733791351318,97.89733791351318,8_examples_without_definition
9,English Exams,91.2899159193039,95.15901124477386,95.19373333454132,95.28507721424103,86.69302046298981,92.2082154750824,92.84590876102448,92.77003407478333,95.28507721424103,8_examples_with_definition
10,Fiction,91.08249805654798,99.09942620141166,99.12834421225956,99.06264092241015,86.54114835602897,95.7328668832779,98.15080998625074,97.8267355135509,99.12834421225956,4_examples_with_definition
11,Food,89.15867513418198,92.89959275722504,93.09422600269318,93.16314697265625,83.4474687576294,85.89238852262497,85.79305529594421,85.90915358066559,93.16314697265625,8_examples_with_definition
12,Formal logic,89.63037621974945,98.92530310153961,99.81941211223602,99.83747088909149,81.45684278011322,82.80310475826263,82.72665107250214,83.71638607978821,99.83747088909149,8_examples_with_definition
13,Government and Politics,88.49403394758701,94.49238835275173,94.86797165870667,94.80678033828735,85.17169804871082,92.1111496835947,93.87768565118313,93.48615887761116,94.86797165870667,4_examples_with_definition
14,History,91.53108943998814,98.53636214137077,98.57624699175358,98.45367147028446,88.21665821969509,95.6301943063736,97.3319686204195,96.93612192571163,98.57624699175358,4_examples_with_definition
15,Justice,94.24960368871689,97.1401715874672,97.21748042106628,96.96568608283997,91.71284317970276,95.18337917327881,95.32031434774399,95.09730869531631,97.21748042106628,4_examples_with_definition
16,Knowledge Base,89.0862123966217,92.31385624408722,92.57397198677063,92.5715571641922,85.95684444904327,92.44632470607758,92.66513848304749,92.68671095371246,92.68671095371246,8_examples_without_definition
17,Law,90.08462696416038,97.6698101418359,97.77315211296082,97.7278334753854,87.04075171266284,94.71468966347831,96.5740292753492,96.27879415239606,97.77315211296082,4_examples_with_definition
18,Linguistics,96.35521042346954,98.61791038513184,98.69444370269775,99.10369062423706,80.91808331012726,95.57767057418823,96.81396150588989,96.83875668048859,99.10369062423706,8_examples_with_definition
19,Miscellaneous,89.91186092793941,96.4341018050909,96.41882534325123,96.15788613259792,81.56813754141331,90.97687242925167,93.00838430225849,93.12971553206444,96.4341018050909,2_examples_with_definition
20,Movies,90.43564069271088,95.63517105579376,95.8552930355072,95.58242988586426,84.5084365606308,86.2178784608841,87.32392871379852,86.96192526817322,95.8552930355072,4_examples_with_definition
21,Narrative,85.10376611351967,90.06816171109676,91.34414914250374,91.34975825250149,83.63245093822479,85.88539859652519,87.01807616651058,87.28745932877064,91.34975825250149,8_examples_with_definition
22,Natural Science,84.96330007910728,94.77036833763123,95.15166613459587,94.6994252204895,84.30681452155113,87.26232597231865,91.28297799825668,91.67681246995926,95.15166613459587,4_examples_with_definition
23,News,88.51960387001647,90.87081201216007,90.97197967323851,90.88089461339281,86.74387649652806,89.63852892530726,89.93610007331726,89.83324458624455,90.97197967323851,4_examples_with_definition
24,Nutrition,93.36509954929352,96.29859042167664,96.74867928028107,96.78809356689453,84.185591340065,83.93251705169678,83.67710387706757,83.74829161167145,96.78809356689453,8_examples_with_definition
25,Professions,85.26851260662079,94.2010008096695,94.12185561656952,94.87114918231964,81.85083341598511,82.52024364471436,89.50712752342224,90.50531935691833,94.87114918231964,8_examples_with_definition
26,Public Places,88.13522243499756,88.44657226403554,89.35118675231934,89.10321724414825,85.86041895548503,89.691521525383,90.06793367862701,89.787903825442,90.06793367862701,4_examples_without_definition
27,Reviews,86.27061259746552,89.02927915255229,89.0139330625534,89.0745000441869,85.69419209162395,88.24017290274303,88.84135214487712,88.85797810554504,89.0745000441869,8_examples_with_definition
28,School Science Textbooks,94.24960368871689,97.1401715874672,97.21748042106628,96.96568608283997,91.71284317970276,95.18337917327881,95.32031434774399,95.09730869531631,97.21748042106628,4_examples_with_definition
29,Scientific Research Papers,84.63142505288124,86.38324311375618,86.8360366821289,86.80451661348343,84.36134597659111,85.39317914843559,85.34289130568504,85.23033380508423,86.8360366821289,4_examples_with_definition
30,Social Media,91.58996343612671,95.57715076208115,96.01135766506195,96.02577865123749,82.27176296710968,93.1718807220459,94.10400229692459,94.5184366106987,96.02577865123749,8_examples_with_definition
31,Sports,86.3904616007438,89.11443306849553,89.25804977233594,89.41000058100774,81.62260307715489,88.31624732567714,89.20378891321329,88.88269250209515,89.41000058100774,8_examples_with_definition
32,Statistics,86.3904616007438,89.11443306849553,89.25804977233594,89.41000058100774,81.62260307715489,88.31624732567714,89.20378891321329,88.88269250209515,89.41000058100774,8_examples_with_definition
33,Story,87.15879979133607,91.75448048114777,92.53832199573517,92.660604596138,82.98455262184143,88.30517661571503,89.88649880886078,90.17434873580933,92.660604596138,8_examples_with_definition
34,Web,86.33301270008087,94.06177324056625,94.8913164138794,94.89919778704643,84.07158714532852,88.98645782470703,90.93825790286064,90.88600620627403,94.89919778704643,8_examples_with_definition
35,Wikipedia,89.07872956449336,94.62633636322889,95.11898563124917,95.02054583484477,85.14234044876966,91.88193067095496,92.71213417703456,92.71380362185565,95.11898563124917,4_examples_with_definition
