,reasoning,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,,84.36122621251987,84.319594591856,84.303766225393,84.12372308052502,83.75989800691605,84.60291612148285,84.47427037358284,84.5696888932815,84.60291612148285,2_examples_without_definition
1,Abductive Reasoning,86.02051758766174,85.08602219820023,84.62266451120377,85.05773746967316,84.73705190420151,87.20416510105133,86.95901054143906,87.42506337165833,87.42506337165833,8_examples_without_definition
2,Analogical Reasoning,81.88948105441199,81.76394503646426,81.85258848137326,81.91921373208363,81.81252475579579,81.62967236836751,81.65689871046278,81.71864607599046,81.91921373208363,8_examples_with_definition
3,Causal Reasoning,84.23617409169674,84.51149171590805,84.65214921534061,84.4182683378458,80.53182452917099,84.07034142315388,84.21786443889141,84.20604960620403,84.65214921534061,4_examples_with_definition
4,Commonsense Reasoning,83.89464337031046,83.52732175191244,83.47711321115494,83.50040029684702,82.06693666776022,83.68373488585154,83.85218825737635,83.86954270203908,83.89464337031046,0_examples_with_definition
5,Cross-document Reasoning,82.07283627986908,84.45581293106079,84.73400688171387,84.44069558382034,83.33098781108856,84.4812713265419,84.20302885770798,84.56648099422455,84.73400688171387,4_examples_with_definition
6,Deductive Reasoning,82.59100651741028,84.48930811882019,84.26108413934708,83.95641893148422,82.12710744142532,83.80840343236923,84.1135738492012,83.9173481464386,84.48930811882019,2_examples_with_definition
7,Discrete Reasoning,82.07283627986908,84.45581293106079,84.73400688171387,84.44069558382034,83.33098781108856,84.4812713265419,84.20302885770798,84.56648099422455,84.73400688171387,4_examples_with_definition
8,Logical Reasoning,79.75096809864044,79.95035636425018,79.93407607078552,79.8172892332077,77.58624184131622,80.35703492164612,80.33327424526215,80.49853682518005,80.49853682518005,8_examples_without_definition
9,Multihop Reasoning,82.5024822401622,83.45151283438244,82.71464932532538,82.57071754289052,82.74683715805175,83.81837734154293,82.44420791429187,82.8532985751591,83.81837734154293,2_examples_without_definition
10,Numerical Reasoning,82.07283627986908,84.45581293106079,84.73400688171387,84.44069558382034,83.33098781108856,84.4812713265419,84.20302885770798,84.56648099422455,84.73400688171387,4_examples_with_definition
11,Quantitative Reasoning,84.45851806799571,83.78347325325012,83.6227132876714,83.35990866025288,78.00023027261098,82.5396721760432,83.21083184083302,83.20957748095195,84.45851806799571,0_examples_with_definition
12,Reasoning on Actions,85.11042340596516,84.07544247309367,83.88367048899333,84.19870567321777,82.38613788286845,85.11655231316884,84.937571366628,84.78251298268636,85.11655231316884,2_examples_without_definition
13,Reasoning on Objects,87.35033762454987,84.76778650283813,84.96007513999939,85.36824929714203,85.70794308185577,87.56127989292145,87.67861807346344,87.25538146495819,87.67861807346344,4_examples_without_definition
14,Reasoning on Social Interactions,84.33442309924534,83.78637152058738,83.63714798859188,83.63627055713108,80.78191767420087,83.56251892021724,83.30548238754272,83.54886138439178,84.33442309924534,0_examples_with_definition
15,Relational Reasoning,82.3639307347211,82.11378302357413,82.14428477937525,82.24523267962716,82.05599475990643,82.17035801844163,82.22998670014468,82.24668978561054,82.3639307347211,0_examples_with_definition
16,Temporal Reasoning,85.29622197151184,87.2885690132777,87.60688392321269,87.3585611184438,86.02191948890686,87.13288291295369,86.92779672145844,87.17506408691406,87.60688392321269,4_examples_with_definition
17,Textual Entailment,84.60101586580276,84.90319090584914,85.00828241805236,84.96341848870118,81.61838090916474,84.61783224840958,84.82974875470002,84.9061831732591,85.00828241805236,4_examples_with_definition
