domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Fiction,93.1423304762159,93.2890475477491,93.31669412340436
Books,91.07535215218861,90.98211856683095,91.1919815937678
Economics,81.41421318054199,81.52067697048187,81.53163945674896
Law,94.12182648976643,94.3433570464452,94.340649108092
Government and Politics,90.64743928611279,90.81440851092339,90.67865934967995
History,93.75391456484795,93.92798858880997,93.97733610868454
Computer Science,84.32632172107697,84.2719341814518,83.28547656536102
Natural Science,83.75303366780281,83.59606772661209,83.7390627861023
Nutrition,81.12723445892334,79.92530393600464,79.46812331676483
Food,72.14059919118881,71.26831376552582,72.05211538076401
Social Media,83.90122228860855,84.16093450784683,84.99376171827316
News,87.43699399754405,87.71367403768724,88.19893268868327
