,categories,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Answerability Classification,60.56153056254754,52.4609919327956,54.62653934955597,53.279249438872704,35.49096085475041,44.87145501833696,50.245394725065964,51.181706401018,60.56153056254754,0_examples_with_definition
1,Cause Effect Classification,65.38882991245815,72.47007322311401,71.77353296961103,72.44643817629132,53.58266469410488,45.833217195102144,46.756366576467244,45.24594858714512,72.47007322311401,2_examples_with_definition
2,Coreference Resolution,43.538010001182556,65.71577726943153,64.64865016085761,65.48243334463665,38.0977943624769,35.39402798243931,38.67053626264845,38.43280058247702,65.71577726943153,2_examples_with_definition
3,Data to Text,73.06303984962159,32.895565858469325,34.629545916973704,37.440820716916114,62.89227876305021,56.60277627443484,55.828743837249114,57.02903532366238,73.06303984962159,0_examples_with_definition
4,Dialogue Act Recognition,66.20154009546552,54.25247412068503,50.228975772857666,49.89765957423619,51.19990977219173,32.15613968031747,27.640015721321106,27.60606530734471,66.20154009546552,0_examples_with_definition
5,Grammar Error Correction,61.81120729446411,3.2874789237976074,6.587399482727051,6.571977734565735,16.619356513023376,88.12649130821228,90.01625072956085,89.66960680484772,90.01625072956085,4_examples_without_definition
6,Keyword Tagging,41.98316030502319,69.45093863010406,69.63110482692719,72.7895426273346,44.68277716636658,44.48859739303589,44.905077838897704,41.582556533813474,72.7895426273346,8_examples_with_definition
7,Overlap Extraction,84.77005761861801,62.04883122444153,80.86598736047745,83.28569000959396,85.56830793619156,43.262987554073334,49.216746509075165,56.74766272306442,85.56830793619156,0_examples_without_definition
8,Question Rewriting,53.46596942164681,29.83571380918676,32.472758347337894,30.935114242813803,23.31587128205733,59.48409380696037,41.00818673047152,34.81918948346918,59.48409380696037,2_examples_without_definition
9,Textual Entailment,51.60562144716581,66.6258354485035,72.00920421878497,72.19784884651501,50.40391832590103,31.7922049810489,37.6279819359382,37.40101285775503,72.19784884651501,8_examples_with_definition
10,Title Generation,30.232695705360836,43.77993632025189,49.61760522259606,49.374420311715866,40.23714727825589,53.02753777636422,56.18214160866208,57.644955072138046,57.644955072138046,8_examples_without_definition
11,Word Analogy,27.930445984005928,80.14309787750244,80.08651646971703,79.862732604146,21.72343747317791,14.081364929676056,12.796013608574867,13.737948566675186,80.14309787750244,2_examples_with_definition
