domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Anthropology,94.24960368871689,94.24960428476334,94.24960517883301
Books,89.99664107958476,89.99664350350697,89.99664262930553
Captions,88.45010115419116,88.45010118825095,88.45010134152004
Code,96.35521042346954,96.3552131652832,96.3552109003067
Commonsense,89.66818507194519,89.66818510532379,89.66818581104279
Computer Science,86.03629064559937,86.03629064559937,86.03629112243652
Debatepedia,84.25398170948029,84.2539792060852,84.25398111343384
Dialogue,88.91111400880311,88.91111420957665,88.91111346922423
Economics,84.86795806884766,84.86795461177826,84.86795496940613
English Exams,91.2899159193039,91.2899158000946,91.28991639614105
Fiction,91.08249805654798,91.08249969141823,91.08249831199646
Food,89.15867513418198,89.15867412090302,89.15867441892624
Formal logic,89.63037621974945,89.63037419319153,89.63037407398224
Government and Politics,88.49403394758701,88.49403427541256,88.49403318762779
History,91.53108943998814,91.53109055757523,91.5310894548893
Justice,94.24960368871689,94.24960428476334,94.24960517883301
Knowledge Base,89.0862123966217,89.08621299266815,89.08621215820312
Law,90.08462696416038,90.08462796892438,90.08462645326343
Linguistics,96.35521042346954,96.3552131652832,96.3552109003067
Miscellaneous,89.91186092793941,89.91186028718948,89.91186060011387
Movies,90.43564069271088,90.43564248085022,90.43564188480377
Narrative,85.10376611351967,85.10376657545567,85.10376550257206
Natural Science,84.96330007910728,84.96329668164253,84.96330037713051
News,88.51960387001647,88.51960369564117,88.51960393342566
Nutrition,93.36509954929352,93.36509680747986,93.36509704589844
Professions,85.26851260662079,85.26851260662079,85.26851260662079
Public Places,88.13522243499756,88.13522144158681,88.13522132237752
Reviews,86.27061259746552,86.27061267693837,86.2706128358841
School Science Textbooks,94.24960368871689,94.24960428476334,94.24960517883301
Scientific Research Papers,84.63142505288124,84.63142454624176,84.63142549991608
Social Media,91.58996343612671,91.58996248245239,91.58996146917343
Sports,86.3904616007438,86.3904616007438,86.3904616007438
Statistics,86.3904616007438,86.3904616007438,86.3904616007438
Story,87.15879979133607,87.15879814624786,87.15879769325257
Web,86.33301270008087,86.3330107331276,86.33301281929016
Wikipedia,89.07872956449336,89.0787296295166,89.07872977581891
