reasoning,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
,87.9998654127121,87.98476094094154,87.96960076675276
Abductive Reasoning,88.37795805931091,88.63544535636902,87.76323753595352
Analogical Reasoning,88.49798611799876,88.56470861699846,88.41419633229573
Causal Reasoning,84.93125505745411,84.91351644694805,84.84410534799099
Commonsense Reasoning,88.84687922000884,88.87575715780258,88.68530846834183
Cross-document Reasoning,92.34298712015152,92.21750450134277,92.11147195100784
Deductive Reasoning,89.78126990795135,90.00342124700546,89.92440551519394
Discrete Reasoning,92.34298712015152,92.21750450134277,92.11147195100784
Logical Reasoning,83.18284702301025,83.8045037984848,83.07336246967316
Multihop Reasoning,92.34298712015152,92.21750450134277,92.11147195100784
Numerical Reasoning,92.34298712015152,92.21750450134277,92.11147195100784
Quantitative Reasoning,84.10364019870758,84.08025328318278,84.04855867226918
Reasoning on Actions,85.3302040497462,85.41176652908325,85.2873824040095
Reasoning on Objects,89.86475539207458,90.2783533334732,89.68683063983917
Reasoning on Social Interactions,86.78233873844147,87.14315467221397,86.91317963600159
Relational Reasoning,87.87080811370502,87.94160302118821,87.73866483298215
Temporal Reasoning,92.7109220425288,92.59134101867676,92.54894471168518
Textual Entailment,87.79947729905446,87.70904995501041,87.78137911856174
