categories,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Answerability Classification,88.80283246117253,87.88835375569761,88.34834313200366
Cause Effect Classification,86.21007858003888,86.33882141113281,85.88857672895703
Coreference Resolution,84.42404196943555,83.7518350311688,84.56241731132779
Data to Text,87.19198335707188,86.92130616307259,87.00087532401085
Dialogue Act Recognition,86.16141566208431,85.42541355746133,85.59923425742558
Grammar Error Correction,93.52245354652405,93.53618848323822,93.055792927742
Keyword Tagging,84.22932124137878,84.48666715621948,84.30001337528229
Overlap Extraction,84.94912606477737,84.41882818937302,84.94585859775543
Question Rewriting,89.93091917037964,89.9630718122829,89.93652747977863
Textual Entailment,87.6501258412997,87.49250981708367,87.62993094325066
Title Generation,84.20635359015121,84.2168939401782,84.69654121262856
Word Analogy,82.51009514927864,82.51094165444374,82.52326366305351
