domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Anthropology,91.98147070407867,91.95608305931091,92.00084120035172
Books,87.27532390753429,87.4331065416336,87.1186120112737
Captions,85.17183601856232,85.1004798071725,85.06480244227818
Code,82.72212564945221,82.53588807582855,82.3808856010437
Commonsense,83.78258081436157,83.7742947769165,83.88222113132477
Computer Science,80.41153383255005,80.4590232372284,80.59569585323334
Debatepedia,82.94439351558685,82.89320743083954,83.10395038127899
Dialogue,88.16525948675056,88.21479199434582,88.14537461180436
Economics,83.79852557182312,83.98692560195923,83.93223810195923
English Exams,85.69921123981476,85.59650647640228,85.73978114128113
Fiction,93.37317310060773,93.36526204858508,93.39626368454525
Food,84.15022653341293,84.06917250156403,83.89588749408722
Formal logic,81.73014879226685,81.80601632595062,82.00255417823792
Government and Politics,92.26605413854122,92.15568469464779,92.31288476288319
History,94.5594013184309,94.55849365890026,94.59484362602234
Justice,91.98147070407867,91.95608305931091,92.00084120035172
Knowledge Base,81.23582017421722,81.21699786186218,81.13857519626617
Law,94.84999691781822,94.32978354181562,94.3596715927124
Linguistics,82.72212564945221,82.53588807582855,82.3808856010437
Miscellaneous,85.18025834858418,85.05304351449013,85.1355105638504
Movies,87.38610482215881,87.54532492160797,87.45450007915497
Narrative,85.45718578994274,85.15528757870197,85.36759169399738
Natural Science,84.95868274569511,84.76588329672813,84.86014723777771
News,87.28551265171596,86.5562175341109,86.70106956616361
Nutrition,82.09503710269928,82.0995740890503,82.11880493164062
Professions,82.12304258346558,81.9918851852417,82.01827561855316
Public Places,86.36741352081299,86.47473863760631,86.46255640188853
Reviews,87.26350224018097,87.33619368076324,87.39083357652028
School Science Textbooks,91.98147070407867,91.95608305931091,92.00084120035172
Scientific Research Papers,85.35390371084213,85.4235557615757,85.41276535391808
Social Media,88.23901039361954,88.08362931013107,87.89491313695908
Sports,,75.39475422639113,75.31308027414175
Statistics,,75.39475422639113,75.31308027414175
Story,89.2301974773407,88.80980958938599,89.23354456424713
Web,87.62839341163635,87.68939140439034,87.36951449513435
Wikipedia,88.32489578989785,88.42201266505502,88.22544823451476
