,categories,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Answerability Classification,87.49734584184793,33.441478665058426,32.052069700681244,33.961567997932434,75.33237661765172,47.484543543595535,40.47015548669375,41.246953340677116,87.49734584184793,0_examples_with_definition
1,Cause Effect Classification,76.28355119909558,19.175338659967696,17.61017256123679,18.186470542635238,82.29991325310299,32.82450597626822,28.650741968836105,26.51193824836186,82.29991325310299,0_examples_without_definition
2,Coreference Resolution,78.76256161928177,54.404408156871796,50.18807576383863,52.464963376522064,78.61486653770719,53.109615666525706,48.289603982652935,48.2355905515807,78.76256161928177,0_examples_with_definition
3,Data to Text,86.70973622463119,66.55076666617057,70.86871986937635,70.75309248317575,82.7260824296396,79.70467292367013,82.11072214612379,82.59112998633317,86.70973622463119,0_examples_with_definition
4,Dialogue Act Recognition,83.69587336267743,49.60759917327336,44.35956222670419,44.299065061977934,74.66823726040977,53.66585838794708,52.83889819894518,51.134110416684834,83.69587336267743,0_examples_with_definition
5,Grammar Error Correction,87.41388320922852,88.37959551811218,88.19695973396301,88.14280474185944,89.75740230083466,88.04393923282623,87.77288472652435,88.03800690174103,89.75740230083466,0_examples_without_definition
6,Keyword Tagging,83.96935698986053,54.955226588249204,52.509909343719485,61.14131393432617,79.66140022277833,55.71960587501526,58.18593091964722,59.82095422744751,83.96935698986053,0_examples_with_definition
7,Overlap Extraction,85.26946741342545,70.30693644285202,73.19320225715637,74.0616460442543,84.87841022014618,60.585498332977295,52.68088257312775,50.10502326488495,85.26946741342545,0_examples_with_definition
8,Question Rewriting,87.20844236287203,55.955284638838336,57.70212118192153,53.97340997782621,80.50670219551434,67.87356503443284,67.13762695139104,65.82374358177185,87.20844236287203,0_examples_with_definition
9,Textual Entailment,83.96186386545499,47.09359838068485,48.76396405696869,48.207445854942,81.94154115517934,40.96026158332825,41.30914846559366,38.56348568697771,83.96186386545499,0_examples_with_definition
10,Title Generation,77.12122970157199,58.952759590413834,58.81774158610238,58.21019208431244,66.62488766511281,63.744101067384086,60.59749624464247,59.80936800109016,77.12122970157199,0_examples_with_definition
11,Word Analogy,83.21633380651474,82.37158277630806,82.53898982703686,82.51997493207455,81.21941190958023,80.8613759726286,80.53744834661484,80.56320038437843,83.21633380651474,0_examples_with_definition
