,categories,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Answerability Classification,91.65262551491077,96.83158600330353,97.39145697997166,97.30041862451114,84.48474076161018,91.07650864124298,92.15976669238164,92.02117389899034,97.39145697997166,4_examples_with_definition
1,Cause Effect Classification,87.14484974316188,93.19088900089264,94.26325641359601,94.39961584976741,83.40724187237876,86.12103632518223,87.18764749595097,87.20678266457149,94.39961584976741,8_examples_with_definition
2,Coreference Resolution,88.74558588436672,95.33487646920341,95.80195030144283,95.85193135057177,83.80589644398007,90.39085739850998,92.54951909610203,92.93327331542969,95.85193135057177,8_examples_with_definition
3,Data to Text,86.54712526731088,90.40827842105722,90.83324078942688,90.82556232600145,84.63467817071458,90.08855068347823,90.82686765373033,90.8065138708258,90.83324078942688,4_examples_with_definition
4,Dialogue Act Recognition,88.77855592114585,95.77568519115448,96.63016825062888,97.0390852178846,80.37508843626294,87.17741920266833,89.08113428524562,89.25196266174316,97.0390852178846,8_examples_with_definition
5,Grammar Error Correction,91.2899159193039,95.15901124477386,95.19373333454132,95.28507721424103,86.69302046298981,92.2082154750824,92.84590876102448,92.77003407478333,95.28507721424103,8_examples_with_definition
6,Keyword Tagging,82.8078958272934,87.83308966159821,88.47587082386016,88.5168167591095,82.73143174648285,85.5569680929184,85.85972623825073,85.75521235466003,88.5168167591095,8_examples_with_definition
7,Overlap Extraction,84.47308301925659,90.506396651268,90.68820714950562,89.84037470817566,84.58559453487396,85.69521969556808,88.21593683958054,88.81180757284164,90.68820714950562,4_examples_with_definition
8,Question Rewriting,89.94242443821646,92.5369232676246,93.07668216661973,93.17498169162057,86.09402154792438,91.5990219224583,92.76512438600713,92.69764955477281,93.17498169162057,8_examples_with_definition
9,Textual Entailment,89.13136696815491,96.51674242317677,97.06710874537627,97.0211222122113,81.7538026869297,89.59630959232648,92.37277646362782,92.46153627336025,97.06710874537627,4_examples_with_definition
10,Title Generation,86.68201706144545,89.06695550017886,89.42944763766394,89.38022324774,85.2328005168173,88.30500441789627,88.52428148852454,88.66259055005179,89.42944763766394,4_examples_with_definition
11,Word Analogy,87.29432752728462,86.02171517908573,88.99694952368736,88.91220094263554,85.27775005996227,83.14766198396683,82.38778814673424,82.42184589803219,88.99694952368736,4_examples_with_definition
