reasoning,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
,79.46301562511005,79.55115017294884,79.55115017294884
Abductive Reasoning,86.2536010146141,86.08558285236359,86.08558285236359
Analogical Reasoning,83.71214649412367,83.65005671977997,83.65005671977997
Causal Reasoning,81.19223053753376,80.73359151184559,80.73359151184559
Commonsense Reasoning,83.74992220401764,83.61556877295176,83.61556877295176
Cross-document Reasoning,88.45470052957535,88.1209522485733,88.1209522485733
Deductive Reasoning,78.62734067440033,76.82382535934448,76.82382535934448
Discrete Reasoning,88.45470052957535,88.1209522485733,88.1209522485733
Logical Reasoning,58.8658881187439,60.29713177680969,60.29713177680969
Multihop Reasoning,81.93506309910426,82.52161476347182,82.52161476347182
Numerical Reasoning,88.45470052957535,88.1209522485733,88.1209522485733
Quantitative Reasoning,83.60202340284984,83.76030894120534,83.76030894120534
Reasoning on Actions,82.07237362861633,81.50909280776978,81.50909280776978
Reasoning on Objects,85.99510490894318,84.15837121009827,84.15837121009827
Reasoning on Social Interactions,83.35680803230831,83.0711783851896,83.0711783851896
Relational Reasoning,83.53020224787973,83.47498647733168,83.47498647733168
Temporal Reasoning,89.83018660545349,89.61087763309479,89.61087763309479
Textual Entailment,82.26815192898114,82.32798526187737,82.32798526187737
