,reasoning,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,,84.80278367491869,86.35852376895922,86.39527819499895,86.40852120136009,84.74412057720698,86.45914085266948,86.49316901535772,86.48700261497274,86.49316901535772,4_examples_without_definition
1,Abductive Reasoning,86.91290241479874,89.18640154600143,89.66630601882935,89.6455710530281,85.94357216358185,87.32630908489227,87.87096625566483,87.6068862080574,89.66630601882935,4_examples_with_definition
2,Analogical Reasoning,81.73078812493219,81.12565880351596,81.1466654141744,81.20280030038622,81.04891489611731,80.88894331455231,80.7651111152437,80.75605840153165,81.73078812493219,0_examples_with_definition
3,Causal Reasoning,83.40305262804031,86.44343590736389,86.75224114954472,86.89853262901306,80.94913005828857,85.444768384099,85.97725886106491,86.20137575268745,86.89853262901306,8_examples_with_definition
4,Commonsense Reasoning,83.60529586474101,85.60525488058725,85.40468406279882,85.4891661087672,82.08815070390702,84.04490064779917,84.7251289566358,84.80994801521301,85.60525488058725,2_examples_with_definition
5,Cross-document Reasoning,80.91937810182571,92.52104842662811,89.35962903499603,92.07079964876175,83.0343331694603,91.55367428064346,90.21716463565826,89.78661859035492,92.52104842662811,2_examples_with_definition
6,Deductive Reasoning,82.34170800447464,88.21900981664658,85.94259983301163,86.42551517486572,82.41392511129379,85.07216578722,84.66659498214722,84.39479798078537,88.21900981664658,2_examples_with_definition
7,Discrete Reasoning,80.91937810182571,92.52104842662811,89.35962903499603,92.07079964876175,83.0343331694603,91.55367428064346,90.21716463565826,89.78661859035492,92.52104842662811,2_examples_with_definition
8,Logical Reasoning,79.06335687637329,79.78426849842072,79.77595734596252,79.76923716068268,77.88054692745209,79.40646386146545,79.06900882720947,79.37614560127258,79.78426849842072,2_examples_with_definition
9,Multihop Reasoning,81.2760496423358,89.67771908593556,89.35962903499603,92.07079964876175,82.54238622529166,89.68032709622787,90.21716463565826,89.78661859035492,92.07079964876175,8_examples_with_definition
10,Numerical Reasoning,80.91937810182571,92.52104842662811,89.35962903499603,92.07079964876175,83.0343331694603,91.55367428064346,90.21716463565826,89.78661859035492,92.52104842662811,2_examples_with_definition
11,Quantitative Reasoning,81.48120129108429,86.58575582504272,86.23844035466512,86.05608435471852,78.2493280172348,85.42933988571167,85.38364120324452,86.14345661799113,86.58575582504272,2_examples_with_definition
12,Reasoning on Actions,86.04893505573273,88.9413423538208,89.3012483517329,89.72534052530925,82.98733162879944,88.29229283332825,88.77278824647267,88.90845859050751,89.72534052530925,8_examples_with_definition
13,Reasoning on Objects,91.75871360301971,91.28227579593658,91.12474393844604,91.3846743106842,89.70816695690155,92.65900135040283,92.32615494728088,92.56031143665314,92.65900135040283,2_examples_without_definition
14,Reasoning on Social Interactions,84.25874696459088,86.13605667863574,85.92838444028583,86.00004247256688,81.23430619921002,84.30338433810643,85.0060442345483,85.27187601157597,86.13605667863574,2_examples_with_definition
15,Relational Reasoning,82.42978368022226,82.00624961202794,82.003128842874,82.04874889417128,81.52385411479257,81.73552151159807,81.7385176745328,81.75512480735779,82.42978368022226,0_examples_with_definition
16,Temporal Reasoning,84.37677963574727,92.06847635904948,89.9635345141093,91.77002123991649,86.02844889958699,91.72295653820038,90.83246942361195,90.5055916706721,92.06847635904948,2_examples_with_definition
17,Textual Entailment,84.06035660207272,87.04319800436497,87.34514108796914,87.40642114977042,82.41853640973568,85.75955354670684,87.0591101642443,87.09991365322884,87.40642114977042,8_examples_with_definition
