domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Fiction,93.25105857849121,93.29497625146594,93.64962426253727
Books,89.65151210625966,89.86517469088237,89.68683135509491
Economics,73.79353404045105,77.91804587841034,80.3744443655014
Law,92.56670541422707,92.53937331267765,92.2754375253405
Government and Politics,91.08760231733322,90.46571503579617,91.1348787844181
History,93.66271597146988,93.66705669462681,93.91614170372486
Computer Science,56.985405921936035,55.909958243370056,58.17388653755188
Natural Science,86.30412125587463,87.20549926161766,87.43393421173096
Nutrition,92.12122344970703,90.59086811542511,90.35532748699188
Food,89.24026429653168,88.52001184225082,88.1199364066124
Social Media,89.78810495138168,88.31401830911636,89.15647494792938
News,86.20787790798127,86.18856237289754,86.37166630397452
