domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Fiction,85.00759097508022,85.00759167330605,85.00759167330605
Books,57.50332283973694,57.503322879473366,57.503322879473366
Economics,81.27720832824707,81.27720832824707,81.27720832824707
Law,74.1545786517007,74.15457916259766,74.15457916259766
Government and Politics,65.03384359180927,65.03384412825108,65.03384412825108
History,81.18663010001183,81.18663038313389,81.18663038313389
Computer Science,0.0,0.0,0.0
Natural Science,63.596136957407,63.59613862633705,63.59613862633705
Nutrition,67.84770572185516,67.84771037101746,67.84771037101746
Food,78.20027774572372,78.20027977228165,78.20027977228165
Social Media,84.07975363731384,84.07975053787231,84.07975053787231
News,41.188563501581235,41.18856321623985,41.18856321623985
