categories,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Data to Text,87.53234635293484,87.5706942230463,87.42548890411854
Title Generation,86.66923575142704,86.70548459436402,86.47857281025823
Question Rewriting,89.31455840847708,89.4954767552289,89.42980914766139
Word Analogy,88.32030968368053,88.33521868288517,88.21875885128975
Grammar Error Correction,91.35366380214691,90.90802264213562,90.75887846946716
Coreference Resolution,87.9186692748751,87.98630945171628,87.7955498780523
Dialogue Act Recognition,87.4123386144638,87.51892379352024,87.33765261513847
Textual Entailment,87.36395824452241,87.31262934704621,87.3509247303009
Overlap Extraction,85.79953724145889,86.15781116485596,85.8463813662529
Keyword Tagging,85.55650231838226,85.69302899837494,85.8270506620407
Answerability Classification,91.33521738552278,91.39875083200393,91.4013329052156
Cause Effect Classification,87.22890462194171,87.43723206860679,87.29275311742511
