model_name,positive_examples,value_with_def,value_with_paraphrased_def,percentage_difference_with_def
Gemma-2B,4,86.41036756109663,85.77146036473007,-0.7393871990126871
Mistral-7B,0,50.422051298509686,46.492168021652695,-7.793977388169342
Gemma-7B,0,81.0554203424267,80.99796400153069,-0.07088525437691919
Llama-3-8B,0,82.72742397914736,82.5012656620858,-0.27337768563731335
Falcon-2-11B,8,86.18402800222881,86.00008249222488,-0.21343341018962386
Gemma-2B-I,4,87.95928441474706,87.6713331014826,-0.32736886751682154
Phi-3-mini-128k-I,0,55.38879916992213,36.751569568848474,-33.648011656469095
Mistral-7B-I,8,93.75515058762392,93.21876755546889,-0.5721104694442616
Gemma-7B-I,0,85.14216855555581,84.82506223980977,-0.37244331583959045
Llama-3-8B-I,0,84.11190849057814,84.21703154297242,0.12497998711567906
