reasoning,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
,87.80952594601192,87.8095260812686,87.80952636324443
Abductive Reasoning,87.28409940004349,87.28409951925278,87.28409969806671
Analogical Reasoning,87.16405137379964,87.1640509499444,87.16405084398058
Causal Reasoning,90.60846583545208,90.60846491158009,90.60846514999866
Commonsense Reasoning,89.69941183328629,89.69941211541494,89.69941171805064
Cross-document Reasoning,91.70269656181335,91.70268946886063,91.70268881320953
Deductive Reasoning,86.19510215520859,86.19509947299957,86.1950985789299
Discrete Reasoning,91.70269656181335,91.70268946886063,91.70268881320953
Logical Reasoning,96.18955373764038,96.18955779075623,96.1895524263382
Multihop Reasoning,90.60652109365614,90.60651546432858,90.60651494397058
Numerical Reasoning,91.70269656181335,91.70268946886063,91.70268881320953
Quantitative Reasoning,91.9657381772995,91.96573543548584,91.96573444207509
Reasoning on Actions,88.19484249750774,88.19484253724416,88.19484249750774
Reasoning on Objects,88.6399496793747,88.6399496793747,88.63994944095612
Reasoning on Social Interactions,88.29617788110461,88.29617740426745,88.29617742129734
Relational Reasoning,86.84170510552146,86.8417048887773,86.84170470454477
Temporal Reasoning,92.69485183556874,92.69484714667003,92.69484722614288
Textual Entailment,88.62923448781173,88.6292334496975,88.62923383712769
