categories,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Answerability Classification,85.51809541078714,85.56467451499059,85.65065717697144
Cause Effect Classification,84.11307520525796,84.4512665782656,84.41749998501369
Coreference Resolution,83.2702808550426,83.15630309922355,83.2890364101955
Data to Text,85.36983063803032,85.37707745749066,85.41251406983031
Dialogue Act Recognition,82.45611808981214,82.55978931699481,82.46858848844256
Grammar Error Correction,87.84132301807404,87.88658392429352,87.86886703968048
Keyword Tagging,83.29200325012206,83.113924908638,83.29922771453857
Overlap Extraction,83.219511449337,83.15029287338257,83.09643131494522
Question Rewriting,86.35445138541135,86.48109193281694,86.46680696444078
Textual Entailment,83.97719380259514,83.92873026927312,84.00905719896157
Title Generation,83.94882011413574,83.95420661899779,84.04004859924316
Word Analogy,81.36477139592171,81.26596809923649,81.43442085385323
