domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Anthropology,92.74737411737442,92.73503029346466,92.73503029346466
Books,86.22797067960103,86.20954283078511,86.20954283078511
Captions,85.93077705587659,85.88404086657933,85.88404086657933
Code,85.25541484355927,85.23759388923645,85.23759388923645
Commonsense,84.9075847196579,84.90084987640381,84.90084987640381
Computer Science,85.5623596906662,85.44814074039459,85.44814074039459
Debatepedia,82.18450474739075,82.23916983604431,82.23916983604431
Dialogue,84.47018861143212,84.45818702170723,84.45818702170723
Economics,83.97401249408722,84.25774359703064,84.25774359703064
English Exams,89.24811089038849,89.07922887802124,89.07922887802124
Fiction,88.0584146635873,88.14608330386025,88.14608330386025
Food,84.44361209869385,84.36114901304245,84.36114901304245
Formal logic,83.8627120256424,84.12550711631775,84.12550711631775
Government and Politics,86.55661037564278,86.62179887294769,86.62179887294769
History,89.65843197703362,89.71999379992485,89.71999379992485
Justice,92.74737411737442,92.73503029346466,92.73503029346466
Knowledge Base,86.68056666851044,86.5630692243576,86.5630692243576
Law,88.25812191622597,88.32401147910527,88.32401147910527
Linguistics,85.25541484355927,85.23759388923645,85.23759388923645
Miscellaneous,85.4424429833889,85.49102918803692,85.49102918803692
Movies,83.95348989963531,83.84338819980621,83.84338819980621
Narrative,83.8053824454546,83.85566714406013,83.85566714406013
Natural Science,86.38914906978607,86.41952568292618,86.41952568292618
News,87.06121825157328,87.12532217515276,87.12532217515276
Nutrition,84.39270114898682,84.45816969871521,84.45816969871521
Professions,85.4876047372818,85.39664149284363,85.39664149284363
Public Places,86.17921920617421,86.15813549359639,86.15813549359639
Reviews,86.12690595785777,86.20900706450145,86.20900706450145
School Science Textbooks,92.74737411737442,92.73503029346466,92.73503029346466
Scientific Research Papers,85.21927478909492,85.07585081458092,85.07585081458092
Social Media,85.43132758140564,85.55741763114929,85.55741763114929
Sports,79.63083203022296,79.94913504673885,79.94913504673885
Statistics,79.63083203022296,79.94913504673885,79.94913504673885
Story,85.25038120746612,85.25572082996368,85.25572082996368
Web,85.0056654214859,84.92009317874908,84.92009317874908
Wikipedia,85.72006937048651,85.7366092801094,85.7366092801094
