,categories,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Answerability Classification,50.69349277936495,25.00195868198688,37.545668895427994,37.64819810940669,40.34547494007991,48.70872332499577,60.530390115884636,61.007647798611565,61.007647798611565,8_examples_without_definition
1,Cause Effect Classification,51.66801597390856,21.389454773494176,8.54222857952118,7.185860753059387,68.61712852546147,39.041872773851665,40.16804242134094,40.27516046592167,68.61712852546147,0_examples_without_definition
2,Coreference Resolution,68.44901393141065,47.249419612543925,44.90554065363748,44.15579228741782,61.7944991503443,45.104839520795004,43.18439052786146,43.30953573329108,68.44901393141065,0_examples_with_definition
3,Data to Text,69.20127655978494,47.482412074093524,47.23958480805858,46.55171900008206,84.25208887024105,41.27996141362078,36.80149514070699,36.5482101697877,84.25208887024105,0_examples_without_definition
4,Dialogue Act Recognition,37.845223494938445,42.586987359183176,44.84474836077009,43.10608427865164,63.0711099420275,38.82022610732487,40.441291144915986,38.4033808367593,63.0711099420275,0_examples_without_definition
5,Grammar Error Correction,1.761109709739685,27.99677014350891,39.09601390361786,44.72311806678772,73.31277740001678,5.065129637718201,1.6737802028656006,1.7066078186035156,73.31277740001678,0_examples_without_definition
6,Keyword Tagging,45.95172970294952,14.897288727760316,1.3038056135177611,2.077843356132507,71.60124702453614,15.366472840309143,16.767798757553102,16.74410786628723,71.60124702453614,0_examples_without_definition
7,Overlap Extraction,90.08256524801254,85.77749872207642,57.48122990131378,64.6429585814476,81.90572905540466,42.87029856443405,43.26620930433273,43.34838926792145,90.08256524801254,0_examples_with_definition
8,Question Rewriting,73.0860627564517,52.32205807078969,50.5981430682269,51.410639481111005,55.393830613656476,18.137024911967192,19.685708100145515,25.646546829830516,73.0860627564517,0_examples_with_definition
9,Textual Entailment,34.454337845245995,14.687689731518427,12.33803778886795,11.370632246136665,52.79157463212808,24.258968224128086,23.427453542749088,23.180907358725864,52.79157463212808,0_examples_without_definition
10,Title Generation,57.69901319344839,26.016697698169285,26.326803240511154,26.42440007130305,72.59245646662183,47.797833482424416,49.782407177819145,49.394682731893326,72.59245646662183,0_examples_without_definition
11,Word Analogy,81.25917488336563,80.27109076082706,79.19384081661701,79.8565185368061,42.15012902021408,72.1164989322424,48.74982373416424,51.47675211727619,81.25917488336563,0_examples_with_definition
