,domains,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Anthropology,91.39684271812439,91.98984694480896,92.08170783519745,91.98147070407867,91.86568599939346,92.47010725736618,92.50674068927765,92.41274291276932,92.50674068927765,4_examples_without_definition
1,Books,85.84104196230571,86.57317201296489,86.85800166924794,87.27532390753429,83.34325114885966,83.32319529851277,83.38052892684937,83.48376452922821,87.27532390753429,8_examples_with_definition
2,Captions,83.92316681998116,85.5176830802645,84.96364758695874,85.17183601856232,82.33830819811139,83.80051284176963,86.04573219163078,85.87640721457345,86.04573219163078,4_examples_without_definition
3,Code,84.30793833732605,83.06527423858643,82.8540164232254,82.72212564945221,82.78403925895691,83.00226693568023,82.84961950778961,83.20878648757935,84.30793833732605,0_examples_with_definition
4,Commonsense,83.16370513439179,83.98073578357696,83.55260915756226,83.78258081436157,82.66059225559235,83.53460955142975,84.25750935077667,84.29346871376038,84.29346871376038,8_examples_without_definition
5,Computer Science,84.74826717376709,83.04611241817474,80.60395860671997,80.41153383255005,84.8323267698288,82.6606615781784,80.61162412166595,80.81339192390442,84.8323267698288,0_examples_without_definition
6,Debatepedia,84.00561201572418,83.02672123908997,83.32601153850555,82.94439351558685,83.71326911449432,87.75485265254974,87.53917887806892,86.82731874287128,87.75485265254974,2_examples_without_definition
7,Dialogue,84.19966640597896,87.74686056689212,88.09135874321586,88.16525948675056,81.60713512019107,84.08343900504865,85.43505457827919,85.40835053042362,88.16525948675056,8_examples_with_definition
8,Economics,83.31728506088257,82.99477112293243,83.80238115787506,83.79852557182312,84.36915516853333,86.42252337932587,93.21516513824463,94.22017586231232,94.22017586231232,8_examples_without_definition
9,English Exams,86.31273865699768,85.84020912647247,85.85151851177216,85.69921123981476,87.44526851177216,86.49244260787964,86.3513845205307,86.497199177742,87.44526851177216,0_examples_without_definition
