domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Anthropology,93.18339878320694,93.367178440094,93.37636989355087
Books,89.65151210625966,89.86517469088237,89.68683135509491
Captions,86.03873731408801,86.58659890719822,86.19271411214557
Code,88.73161923885345,88.26792693138123,88.64668428897858
Commonsense,79.9340445804596,79.64140817165375,80.3257315683365
Computer Science,56.985405921936035,55.909958243370056,58.17388653755188
Debatepedia,87.98335862159729,87.15023863315582,87.37077701091766
Dialogue,86.32937583797856,86.57325885797802,86.03048399875038
Economics,73.79353404045105,77.91804587841034,80.3744443655014
English Exams,87.41388320922852,87.23461723327637,87.94840550422668
Fiction,93.25105857849121,93.29497625146594,93.64962426253727
Food,89.24026429653168,88.52001184225082,88.1199364066124
Formal logic,89.20744454860687,90.99074828624725,89.12926304340363
Government and Politics,91.08760231733322,90.46571503579617,91.1348787844181
History,93.66271597146988,93.66705669462681,93.91614170372486
Justice,93.18339878320694,93.367178440094,93.37636989355087
Knowledge Base,85.12556326389313,88.73556053638458,88.15704941749573
Law,92.56670541422707,92.53937331267765,92.2754375253405
Linguistics,88.73161923885345,88.26792693138123,88.64668428897858
Miscellaneous,80.54961496591568,81.63216483592987,81.1606976389885
Movies,91.53005599975586,91.21056580543518,90.41603457927704
Narrative,73.47780276834965,74.83891215920448,74.16669397056103
Natural Science,86.30412125587463,87.20549926161766,87.43393421173096
News,86.20787790798127,86.18856237289754,86.37166630397452
Nutrition,92.12122344970703,90.59086811542511,90.35532748699188
Professions,83.2638486623764,83.32470774650574,83.30473709106445
Public Places,87.58259316285451,85.65100705623627,87.04994694391887
Reviews,85.10653952757518,85.28113027413686,86.2856030066808
School Science Textbooks,93.18339878320694,93.367178440094,93.37636989355087
Scientific Research Papers,80.05813935399055,80.46008178591728,80.98413476347923
Social Media,89.78810495138168,88.31401830911636,89.15647494792938
Sports,82.60728671000554,82.43150756909297,82.68194657105666
Statistics,82.60728671000554,82.43150756909297,82.68194657105666
Story,65.95357151031494,69.72303402423859,67.40166654586793
Web,72.9035305082798,74.90494284033775,73.5767667889595
Wikipedia,84.40734008767389,84.55063222213225,84.18322173031893
