domains,Gemma-2B,Falcon-2-11B,Gemma-2B-I,Mistral-7B-I,GPT-3.5-T,GPT-4o,DS-2
Anthropology,92.87310725450516,91.98147070407867,93.94536584615707,96.96568608283997,98.68275141716003,99.20572358369827,97.22735369205475
Books,91.29929117361705,87.27532390753429,93.26794445514679,96.136532386144,95.98210986455281,96.33405510584514,91.09301257133484
Captions,92.00775781699589,85.17183601856232,88.75465338570731,94.11082150254931,97.0418199811663,98.5843687738691,89.54039716720581
Code,82.22852423787117,82.72212564945221,96.93920090794563,99.10369062423706,99.81941938400269,99.8722414970398,89.79425752162933
Commonsense,84.5072627878189,83.78258081436157,87.6253377532959,94.01548255443574,96.12776930332184,97.81608567714692,91.51209436893463
Computer Science,84.57806378602982,80.41153383255005,87.57609933614731,88.8205075263977,88.68013799190521,89.30267572402954,89.11555290222168
Debatepedia,91.12839996814728,82.94439351558685,85.13133037090302,99.18104100227356,99.17669248580933,99.99574422836304,87.48779499530792
Dialogue,88.75994791482624,88.16525948675056,89.1685612578141,96.52946603298187,96.31310027524044,98.00328050161663,90.56393907572094
Economics,81.47225749492645,83.79852557182312,87.85427141189575,96.82146751880646,99.92904138565063,99.90725004673004,99.40680813789368
English Exams,93.43946957588196,85.69921123981476,91.26488518714905,95.28507721424103,95.6883739233017,95.79499530792236,94.50871002674103
Fiction,93.21621097837176,93.37317310060773,93.53306126594543,99.06264092241015,98.15330454281398,99.65967793124062,92.5388708966119
Food,71.23866409063339,84.15022653341293,86.07315427064896,93.16314697265625,94.96375715732574,95.93784552812576,91.87445205450058
Formal logic,80.22956240177155,81.73014879226685,81.56247448921204,99.83747088909149,87.71691429615021,99.85552501678467,85.36815428733826
Government and Politics,90.57381403446198,92.26605413854122,90.3817228525877,94.80678033828735,94.5543999671936,96.06174692511559,90.30166804790497
History,93.88753037154675,94.5594013184309,93.36022016406059,98.45367147028446,98.05908781290054,99.5055231899023,93.07928675413132
Justice,92.87310725450516,91.98147070407867,93.94536584615707,96.96568608283997,98.68275141716003,99.20572358369827,97.22735369205475
Knowledge Base,89.95399296283722,81.23582017421722,90.1451804637909,92.5715571641922,91.95566999912262,92.09658646583557,92.23366463184357
Law,94.22567141056061,94.84999691781822,93.16517160336177,97.7278334753854,96.52364529882159,98.1999591418675,91.49275500433785
Linguistics,82.22852423787117,82.72212564945221,96.93920090794563,99.10369062423706,99.81941938400269,99.8722414970398,89.79425752162933
Miscellaneous,88.27039183676243,85.18025834858418,85.79123236238956,96.15788613259792,96.38571281731129,97.51882046461105,91.02511303126812
Movies,96.96472764015198,87.38610482215881,94.04958319664001,95.58242988586426,99.95907068252563,99.97078204154968,95.88872992992401
Narrative,85.30782455205917,85.45718578994274,87.18533201515675,91.34975825250149,92.41750387847424,93.73718422651291,89.32785446941853
Natural Science,83.3569161593914,84.95868274569511,88.59326350688934,94.6994252204895,94.47026234865189,96.41300532221794,88.15715938806534
News,87.90791574985751,87.28551265171596,88.72257384561723,90.88089461339281,90.9507875429823,91.35981874263032,90.88749890314772
Nutrition,79.7798056602478,82.09503710269928,90.11228585243225,96.78809356689453,99.50209081172943,99.97516512870789,93.33476519584656
Professions,91.3376476764679,82.12304258346558,94.68238234519958,94.87114918231964,95.85859441757202,99.25256395339966,96.73853278160095
Public Places,87.97993246714275,86.36741352081299,88.75039660930634,89.10321724414825,93.30384520689647,94.92166332403819,90.18267476558685
Reviews,86.18391442298889,87.26350224018097,87.18320178985596,89.0745000441869,88.99500461419423,89.58584547042847,89.51234050591786
School Science Textbooks,92.87310725450516,91.98147070407867,93.94536584615707,96.96568608283997,98.68275141716003,99.20572358369827,97.22735369205475
Scientific Research Papers,83.83278268575668,85.35390371084213,86.88580298423767,86.80451661348343,89.48156550526619,89.88162711262703,89.77062833309174
Social Media,84.51631534099579,88.23901039361954,86.5458135008812,96.02577865123749,95.57237273454666,96.09493762254715,89.47501820325851
Story,89.31844198703766,89.2301974773407,88.0306321144104,92.660604596138,91.82543606758118,93.81321842670441,89.97762820720672
Web,86.23715069890022,87.62839341163635,89.62501648068428,94.89919778704643,96.85461309552193,97.30961990356445,91.61981308460236
Wikipedia,86.73627117501218,88.32489578989785,89.03357356951382,95.02054583484477,95.70652241056615,96.02711312879215,92.27030877633528
Sports,,,,89.41000058100774,87.97438534406515,88.51754275652078,88.6712739100823
Statistics,,,,89.41000058100774,87.97438534406515,88.51754275652078,88.6712739100823
