domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Anthropology,91.89750427007675,91.91679668426514,91.82103216648102
Books,84.6624295314153,84.60257291793823,85.03985806306203
Captions,84.22071037973676,84.12681257724762,83.81728609970638
Code,82.97887551784515,83.40186643600464,83.14226269721985
Commonsense,83.37502504825592,83.3564773130417,83.49405032634735
Computer Science,82.47435069084167,81.938689827919,81.80569088459015
Debatepedia,84.37589478492737,84.45407235622406,84.56642055511475
Dialogue,83.86440647903241,84.07212153861397,84.02023776581413
Economics,82.9912760257721,82.52222561836243,83.0115749835968
English Exams,87.84132301807404,87.88658392429352,87.86886703968048
Fiction,87.6386638368879,87.95385980606079,87.90599739551544
Food,84.81578344106674,84.48808479309082,84.34433180093765
Formal logic,82.91379070281982,82.94320952892303,83.19613480567932
Government and Politics,85.85909181833267,86.39707070589066,86.32394176721573
History,89.14304608106613,89.4808868765831,89.35905499756336
Justice,91.89750427007675,91.91679668426514,91.82103216648102
Knowledge Base,86.25772142410278,86.05339205265045,86.23131585121155
Law,87.79898619651794,88.07339761938367,88.00340492384774
Linguistics,82.97887551784515,83.40186643600464,83.14226269721985
Miscellaneous,84.83261555433273,84.56017176806927,84.71107372641563
Movies,86.04570245742798,86.20829224586487,86.44831705093384
Narrative,82.88210834562778,82.97429722547531,83.08933214843273
Natural Science,83.93479418754578,83.91682943701744,84.01340740919113
News,86.59194083289897,86.57209440431696,86.6330475090666
Nutrition,86.15589535236359,85.65263366699219,85.67672729492188
Professions,82.85645139217377,83.2542827129364,83.52143049240112
Public Places,85.17809808254242,85.38080724080403,85.1901245911916
Reviews,85.3354726632436,85.46220787366231,85.28445585568745
School Science Textbooks,91.89750427007675,91.91679668426514,91.82103216648102
Scientific Research Papers,82.50076073408127,82.4281656742096,82.68296411633492
Social Media,84.90226030349731,84.4601222872734,84.63258278369904
Sports,84.15496670282803,83.79097672609183,84.17209707773648
Statistics,84.15496670282803,83.79097672609183,84.17209707773648
Story,84.06629219055176,84.33124973773957,84.48445568084716
Web,83.95280876755714,84.06298157572746,84.32069927453995
Wikipedia,85.17053800279444,85.16011587056246,85.21268825097518
