,domains,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Anthropology,18.56479150056839,42.63326948881149,43.49556189775467,44.45581579208374,27.07553267478943,1.8642497062683105,0.9339126348495483,0.9339126348495483,44.45581579208374,8_examples_with_definition
1,Books,64.60149788856506,60.723016103108726,55.699753761291504,56.224891225496926,71.46865204970042,29.656337936719257,30.03287649154663,31.08685032526652,71.46865204970042,0_examples_without_definition
2,Captions,30.8756822177342,13.410209911210197,14.65261161327362,15.139071839196342,68.7384627376284,53.608788916042876,32.1232818535396,30.343580416270665,68.7384627376284,0_examples_without_definition
3,Code,3.369441032409668,6.633464455604553,31.483489274978638,21.613741397857666,53.89699399471283,45.180601477622986,66.28232324123383,72.85908102989197,72.85908102989197,8_examples_without_definition
4,Commonsense,56.64755282402039,51.50033440113068,49.429171462059024,47.40020497322082,31.643231892585753,39.3596702671051,34.45602989196777,39.495526366233825,56.64755282402039,0_examples_with_definition
5,Computer Science,84.95285487174988,61.81633007526398,69.34204256534576,69.1418879032135,80.11863625049591,68.56866919994354,78.59279978275299,80.06871724128723,84.95285487174988,0_examples_with_definition
6,Debatepedia,5.693368434906006,20.357967615127563,21.97117555141449,13.502544164657593,26.648014307022095,46.258549094200134,46.597501039505005,43.027722120285034,46.597501039505005,4_examples_without_definition
7,Dialogue,56.52705252170563,33.9595863191705,31.27040838567834,30.692410343571712,69.97878640576413,37.780096775607056,36.97409553276865,36.78359157788126,69.97878640576413,0_examples_without_definition
8,Economics,77.84131443500519,85.54637062549591,73.28282046318054,76.92500400543213,52.92656421661377,0.0,0.0,0.0,85.54637062549591,2_examples_with_definition
9,English Exams,1.761109709739685,27.99677014350891,39.09601390361786,44.72311806678772,73.31277740001678,5.065129637718201,1.6737802028656006,1.7066078186035156,73.31277740001678,0_examples_without_definition
10,Fiction,54.88241878577641,39.55816032205309,34.646505917821614,34.70125406129019,70.47813328674862,18.13036416258131,10.985992670059204,11.230844753129142,70.47813328674862,0_examples_without_definition
11,Food,51.51251947879791,10.90087902545929,9.214673697948456,9.277080237865448,80.4929718375206,65.64346134662628,66.33390945196152,62.92540371417999,80.4929718375206,0_examples_without_definition
12,Formal logic,12.499203085899353,3.320432662963867,8.22402048110962,4.944320917129517,80.20840966701508,73.44306945800781,44.10900115966797,45.675681352615356,80.20840966701508,0_examples_without_definition
13,Government and Politics,66.47690065205097,32.87068711221218,26.457983121275902,26.520231038331985,83.95706050097942,15.28014263510704,13.250669240951538,13.884440675377846,83.95706050097942,0_examples_without_definition
14,History,42.23628559708595,34.98084904253483,30.844595342874527,30.953667268157005,58.20134995877743,7.109869837760925,3.2328886836767197,3.6813886016607285,58.20134995877743,0_examples_without_definition
15,Justice,18.56479150056839,42.63326948881149,43.49556189775467,44.45581579208374,27.07553267478943,1.8642497062683105,0.9339126348495483,0.9339126348495483,44.45581579208374,8_examples_with_definition
16,Knowledge Base,41.87799155712128,83.84648060798645,88.8305447101593,88.52467131614685,75.44498014450073,84.44610047340393,86.33476686477661,86.18537878990173,88.8305447101593,4_examples_with_definition
17,Law,55.326326676777434,38.464840224811006,34.92214960711343,35.263475843838286,70.7038163457598,19.747913360595703,16.037930505616323,16.52275243827275,70.7038163457598,0_examples_without_definition
18,Linguistics,3.369441032409668,6.633464455604553,31.483489274978638,21.613741397857666,53.89699399471283,45.180601477622986,66.28232324123383,72.85908102989197,72.85908102989197,8_examples_without_definition
19,Miscellaneous,36.473969385027885,12.675200700759888,15.516665995121002,15.601930513978004,47.77095466852188,30.430969774723053,39.55780375003815,40.1343342512846,47.77095466852188,0_examples_without_definition
