reasoning,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Causal Reasoning,68.07673636078835,71.69688503444195,71.43157182633877
Analogical Reasoning,83.76433344682057,83.86499900288052,83.74629357126024
Commonsense Reasoning,82.25860976775488,82.22727218866348,82.6138811826706
Deductive Reasoning,58.68792885541916,59.88828510046005,60.25507837533951
Abductive Reasoning,83.15651696920395,83.73169559240341,85.05821919441223
Logical Reasoning,79.94220840930939,79.89430046081543,79.95951569080353
Multihop Reasoning,76.97746063035632,80.53506205952357,71.82681849078527
Cross-document Reasoning,75.51370584964752,80.04198622703552,69.0044851899147
Quantitative Reasoning,69.34389877319336,73.0102311372757,71.80461696783702
Temporal Reasoning,81.56453724702199,84.77443301677704,77.37721765041351
