domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Anthropology,92.65017879009247,92.68188321590424,92.88739711046219
Books,91.07535215218861,90.98211856683095,91.1919815937678
Captions,91.0643813780376,91.37936784539905,91.4880177123206
Code,82.55860090255737,81.708053201437,82.57918268442154
Commonsense,84.9851162147522,84.2542010307312,84.74645443439483
Computer Science,84.32632172107697,84.2719341814518,83.28547656536102
Debatepedia,90.07589960098267,90.97756445407867,90.70200884342194
Dialogue,89.14641713468652,88.62690953831924,88.72731464160115
Economics,81.41421318054199,81.52067697048187,81.53163945674896
English Exams,93.52245354652405,93.53618848323822,93.055792927742
Fiction,93.1423304762159,93.2890475477491,93.31669412340436
Food,72.14059919118881,71.26831376552582,72.05211538076401
Formal logic,80.19220578670502,80.12873935699463,80.29228675365448
Government and Politics,90.64743928611279,90.81440851092339,90.67865934967995
History,93.75391456484795,93.92798858880997,93.97733610868454
Justice,92.65017879009247,92.68188321590424,92.88739711046219
Knowledge Base,89.30375516414642,89.65266275405884,89.81243562698364
Law,94.12182648976643,94.3433570464452,94.340649108092
Linguistics,82.55860090255737,81.708053201437,82.57918268442154
Miscellaneous,88.01745916903019,87.65860904753208,87.75044749677181
Movies,97.79761600494385,96.50959527492523,97.12085700035095
Narrative,85.3967466801405,85.35230807960033,85.3603734523058
Natural Science,83.75303366780281,83.59606772661209,83.7390627861023
News,87.43699399754405,87.71367403768724,88.19893268868327
Nutrition,81.12723445892334,79.92530393600464,79.46812331676483
Professions,92.13986670970917,91.59356105327606,90.82150673866272
Public Places,88.05300803979237,88.07914801438649,88.00507740179698
Reviews,85.93287873268127,85.90422423680623,86.10919229189555
School Science Textbooks,92.65017879009247,92.68188321590424,92.88739711046219
Scientific Research Papers,84.26324909925461,84.12428292632103,84.27621296048164
Social Media,83.90122228860855,84.16093450784683,84.99376171827316
Story,89.48873293399811,89.66922578811645,89.0346061706543
Web,86.32713747024536,86.06908175349236,85.66134524345398
Wikipedia,86.71238251153936,86.36505630134877,86.99971121867937
