,domains,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Anthropology,92.0244670510292,92.72403502464294,92.65017879009247,92.87310725450516,92.36313325166702,91.64962089061737,91.59649336338043,91.6225934624672,92.87310725450516,8_examples_with_definition
1,Books,92.14442658424377,91.89225232601166,91.07535215218861,91.29929117361705,82.58123894532521,83.81297008196513,83.97118818759918,83.97460373242696,92.14442658424377,0_examples_with_definition
2,Captions,87.61162056241717,91.70376368931362,91.0643813780376,92.00775781699589,82.39295763628823,84.1797035591943,85.1860898733139,85.46491158008575,92.00775781699589,8_examples_with_definition
3,Code,85.24405694007874,82.47420152028401,82.55860090255737,82.22852423787117,79.95416045188904,81.89638257026672,83.00542563199997,82.86349296569824,85.24405694007874,0_examples_with_definition
4,Commonsense,84.7124093389511,84.99558317184449,84.9851162147522,84.5072627878189,82.48607355117798,77.99628228664398,74.60274872303009,74.62093835353852,84.99558317184449,2_examples_with_definition
5,Computer Science,84.76039946079254,82.63402819633484,84.32632172107697,84.57806378602982,81.43532645702362,82.2078400850296,82.36156475543976,82.73957467079163,84.76039946079254,0_examples_with_definition
6,Debatepedia,82.36637365818024,90.46157336235046,90.07589960098267,91.12839996814728,81.78953230381012,68.25282216072083,70.0237203836441,65.34089875221252,91.12839996814728,8_examples_with_definition
7,Dialogue,84.99011435006794,88.4948981749384,89.14641713468652,88.75994791482624,81.40072444865578,78.62162246829585,79.09603654083453,78.89632065672623,89.14641713468652,4_examples_with_definition
8,Economics,82.02142691612244,81.29653406143188,81.41421318054199,81.47225749492645,82.16779386997223,79.49750065803528,74.98574483394623,77.81046175956726,82.16779386997223,0_examples_without_definition
9,English Exams,89.6286062002182,92.20924532413483,93.52245354652405,93.43946957588196,85.05114090442657,89.57546865940094,90.05622243881226,90.01673150062561,93.52245354652405,4_examples_with_definition
10,Fiction,88.7124113866261,92.7335443326405,93.1423304762159,93.21621097837176,85.61080603940147,85.2274990422385,84.87799164227077,84.40805305753436,93.21621097837176,8_examples_with_definition
11,Food,84.95727628469467,71.20381361246109,72.14059919118881,71.23866409063339,80.97906523942947,74.48483574390411,74.53427439928055,73.41737991571426,84.95727628469467,0_examples_with_definition
12,Formal logic,80.5813159942627,81.00648248195648,80.19220578670502,80.22956240177155,82.49408543109894,80.50149619579315,70.66274964809418,77.47758841514587,82.49408543109894,0_examples_without_definition
13,Government and Politics,85.7458873540163,90.02839125692844,90.64743928611279,90.57381403446198,83.240932777524,83.87796427309513,83.48862788081169,82.92799444496632,90.64743928611279,4_examples_with_definition
14,History,89.13354663550854,93.24921435117722,93.75391456484795,93.88753037154675,87.72528728842735,87.30350317060947,86.9986410588026,86.60040879249573,93.88753037154675,8_examples_with_definition
15,Justice,92.0244670510292,92.72403502464294,92.65017879009247,92.87310725450516,92.36313325166702,91.64962089061737,91.59649336338043,91.6225934624672,92.87310725450516,8_examples_with_definition
16,Knowledge Base,85.1513751745224,89.56399011611938,89.30375516414642,89.95399296283722,84.8153578042984,85.34346532821655,85.48035895824432,85.32804560661316,89.95399296283722,8_examples_with_definition
17,Law,87.91249257145506,93.42427412668864,94.12182648976643,94.22567141056061,85.87478137016296,85.81717220044905,85.46602362394333,84.92634723583858,94.22567141056061,8_examples_with_definition
18,Linguistics,85.24405694007874,82.47420152028401,82.55860090255737,82.22852423787117,79.95416045188904,81.89638257026672,83.00542563199997,82.86349296569824,85.24405694007874,0_examples_with_definition
19,Miscellaneous,83.0202194750309,87.97757162153721,88.01745916903019,88.27039183676243,81.33320227265358,80.44747892022133,80.35438349843025,80.32619377970695,88.27039183676243,8_examples_with_definition
20,Movies,87.88431429862976,97.21788048744202,97.79761600494385,96.96472764015198,83.61905312538147,82.51313292980194,81.7072479724884,80.2365733385086,97.79761600494385,4_examples_with_definition
21,Narrative,83.77350449562073,83.20399153232574,85.3967466801405,85.30782455205917,80.96180342137814,81.86837628483772,81.48059640824795,81.34402479231358,85.3967466801405,4_examples_with_definition
22,Natural Science,84.40174576640129,84.76759341359138,83.75303366780281,83.3569161593914,83.39805921912193,81.32939606904984,77.8379887342453,78.28985062241554,84.76759341359138,2_examples_with_definition
23,News,86.43093781268342,88.13305595889688,87.43699399754405,87.90791574985751,84.71762338217269,86.44339494845447,86.6841037345655,86.64795144037767,88.13305595889688,2_examples_with_definition
24,Nutrition,86.15973401069641,79.88840198516846,81.12723445892334,79.7798056602478,80.75249755382538,82.91950714588165,83.0825787782669,82.683234333992,86.15973401069641,0_examples_with_definition
25,Professions,82.3220351934433,88.03836476802826,92.13986670970917,91.3376476764679,83.39261376857758,81.80218553543091,81.60252463817596,81.74983155727386,92.13986670970917,4_examples_with_definition
26,Public Places,85.64203560352325,88.206715742747,88.05300803979237,87.97993246714275,84.06853755315144,85.91843581199646,84.8483241001765,85.41044334570567,88.206715742747,2_examples_with_definition
27,Reviews,85.37690381209056,85.38208230336507,85.93287873268127,86.18391442298889,83.38616788387299,84.03798882166545,84.24439613024394,84.33071633179982,86.18391442298889,8_examples_with_definition
28,School Science Textbooks,92.0244670510292,92.72403502464294,92.65017879009247,92.87310725450516,92.36313325166702,91.64962089061737,91.59649336338043,91.6225934624672,92.87310725450516,8_examples_with_definition
29,Scientific Research Papers,83.48541030287743,83.27804186940193,84.26324909925461,83.83278268575668,78.39497491717339,81.82093626260757,81.92280101776123,81.78685879707336,84.26324909925461,4_examples_with_definition
30,Social Media,84.50976324081421,85.51883506774902,83.90122228860855,84.51631534099579,74.56944441795349,83.25046116113663,79.88030821084976,81.76359981298447,85.51883506774902,2_examples_with_definition
31,Story,84.51857252120972,86.53800587654113,89.48873293399811,89.31844198703766,80.98236813545228,83.58559958934784,84.2866221666336,83.79589507579803,89.48873293399811,4_examples_with_definition
32,Web,84.11636352539062,87.17609313130379,86.32713747024536,86.23715069890022,83.34121230244637,83.07486665248871,82.72954869270325,83.07492139935493,87.17609313130379,2_examples_with_definition
33,Wikipedia,84.94765862959241,86.21451972125843,86.71238251153936,86.73627117501218,83.44690533406144,84.60684207921528,84.88422673380836,84.93388196381416,86.73627117501218,8_examples_with_definition
34,Sports,77.8680485028487,,,,78.81886959075928,,,,78.81886959075928,0_examples_without_definition
35,Statistics,77.8680485028487,,,,78.81886959075928,,,,78.81886959075928,0_examples_without_definition
