reasoning,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Causal Reasoning,25.804919496178627,25.80492027103901,25.80492027103901
Analogical Reasoning,32.61428223715888,32.61428209145864,32.61428209145864
Commonsense Reasoning,42.746012127399446,42.74601249694824,42.74601249694824
Deductive Reasoning,87.34477001428604,87.34476643800735,87.34476643800735
Abductive Reasoning,46.283139288425446,46.28313905000687,46.28313905000687
Logical Reasoning,3.085829019546509,3.085829019546509,3.085829019546509
Multihop Reasoning,16.683155345538307,16.683155723980494,16.683155723980494
Cross-document Reasoning,2.4188239574432373,2.4188244342803955,2.4188244342803955
Quantitative Reasoning,0.0,0.0,0.0
Temporal Reasoning,18.09314755598704,18.09314747651418,18.09314747651418
