reasoning,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Causal Reasoning,81.19223053753376,80.73359151184559,80.73359151184559
Analogical Reasoning,83.71214649412367,83.65005671977997,83.65005671977997
Commonsense Reasoning,83.74992220401764,83.61556877295176,83.61556877295176
Deductive Reasoning,78.62734067440033,76.82382535934448,76.82382535934448
Abductive Reasoning,86.2536010146141,86.08558285236359,86.08558285236359
Logical Reasoning,58.8658881187439,60.29713177680969,60.29713177680969
Multihop Reasoning,81.93506309910426,82.52161476347182,82.52161476347182
Cross-document Reasoning,88.45470052957535,88.1209522485733,88.1209522485733
Quantitative Reasoning,83.60202340284984,83.76030894120534,83.76030894120534
Temporal Reasoning,89.83018660545349,89.61087763309479,89.61087763309479
