reasoning,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
,84.36122621251987,84.38680477554982,84.44186686552487
Abductive Reasoning,86.02051758766174,86.10057479143143,86.23815202713013
Analogical Reasoning,81.88948105441199,81.8017463684082,81.9531866841846
Causal Reasoning,84.23617409169674,84.16553731262684,84.25124357640743
Commonsense Reasoning,83.89464337031046,83.83188823461532,83.9282981991768
Cross-document Reasoning,82.07283627986908,81.95752465724945,82.23676723241806
Deductive Reasoning,82.59100651741028,82.74903082847595,82.99904865026474
Discrete Reasoning,82.07283627986908,81.95752465724945,82.23676723241806
Logical Reasoning,79.75096809864044,79.71633803844452,79.71988332271576
Multihop Reasoning,82.5024822401622,82.33585603653438,82.63612101002344
Numerical Reasoning,82.07283627986908,81.95752465724945,82.23676723241806
Quantitative Reasoning,84.45851806799571,83.60571384429932,84.13517717520396
Reasoning on Actions,85.11042340596516,85.00479527314504,84.98890030384064
Reasoning on Objects,87.35033762454987,87.9408460855484,87.30012965202332
Reasoning on Social Interactions,84.33442309924534,84.30699244567326,84.28967245987484
Relational Reasoning,82.3639307347211,82.25876833092083,82.42557231946425
Temporal Reasoning,85.29622197151184,85.2045389811198,85.39773348967235
Textual Entailment,84.60101586580276,84.60590778291225,84.66304042935371
