categories,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Data to Text,78.97012162376457,79.74798882231467,79.74798882231467
Title Generation,75.57378733158112,75.4908874630928,75.4908874630928
Question Rewriting,87.80727232586254,87.93875321474943,87.93875321474943
Word Analogy,83.35255013406277,83.22908848524094,83.22908848524094
Grammar Error Correction,86.46538424491882,87.36296236515045,87.36296236515045
Coreference Resolution,75.2014114516122,74.73964480842862,74.73964480842862
Dialogue Act Recognition,84.61405653612954,84.85209710257394,84.85209710257394
Textual Entailment,82.52188836038113,82.70647678275903,82.70647678275903
Overlap Extraction,67.16064012050629,66.18248724937439,66.18248724937439
Keyword Tagging,75.1669604063034,74.24939737319946,74.24939737319946
Answerability Classification,88.76482373934526,88.72091720654414,88.72091720654414
Cause Effect Classification,80.66096603870392,80.19346257618496,80.19346257618496
