categories,Gemma-2B,Mistral-7B,Gemma-7B,Llama-3-8B,Falcon-2-11B,best_model
Answerability Classification,88.80283246117253,60.56153056254754,88.76482373934526,87.49734584184793,88.29428715048928,Gemma-2B
Cause Effect Classification,86.65339507375445,72.47007322311401,82.15779190404075,82.29991325310299,87.9980959551675,Falcon-2-11B
Coreference Resolution,85.26382937601635,65.71577726943153,75.2014114516122,78.76256161928177,84.69721691949027,Gemma-2B
Data to Text,87.19198335707188,73.06303984962159,82.00608000159264,86.70973622463119,88.52640675008297,Falcon-2-11B
Dialogue Act Recognition,86.16141566208431,66.20154009546552,84.61405653612954,83.69587336267743,86.60263182435718,Falcon-2-11B
Grammar Error Correction,93.52245354652405,90.01625072956085,86.46538424491882,89.75740230083466,87.44526851177216,Gemma-2B
Keyword Tagging,84.22932124137878,72.7895426273346,75.1669604063034,83.96935698986053,86.02658634185791,Falcon-2-11B
Overlap Extraction,85.02734708786011,85.56830793619156,84.0343649983406,85.26946741342545,86.66006171703339,Falcon-2-11B
Question Rewriting,90.05309328165922,59.48409380696037,87.80727232586254,87.20844236287203,89.40701149810444,Gemma-2B
Textual Entailment,87.9120450168848,72.19784884651501,82.52188836038113,83.96186386545499,86.61167784035206,Gemma-2B
Title Generation,84.80892407483068,57.644955072138046,75.57378733158112,77.12122970157199,86.605582175768,Falcon-2-11B
Word Analogy,82.67032167315483,80.14309787750244,83.35255013406277,83.21633380651474,81.14863508939743,Gemma-7B
