domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Fiction,87.6386638368879,87.95385980606079,87.90599739551544
Books,84.6624295314153,84.60257291793823,85.03985806306203
Economics,82.9912760257721,82.52222561836243,83.0115749835968
Law,87.79898619651794,88.07339761938367,88.00340492384774
Government and Politics,85.85909181833267,86.39707070589066,86.32394176721573
History,89.14304608106613,89.4808868765831,89.35905499756336
Computer Science,82.47435069084167,81.938689827919,81.80569088459015
Natural Science,83.93479418754578,83.91682943701744,84.01340740919113
Nutrition,86.15589535236359,85.65263366699219,85.67672729492188
Food,84.81578344106674,84.48808479309082,84.34433180093765
Social Media,84.90226030349731,84.4601222872734,84.63258278369904
News,86.59194083289897,86.57209440431696,86.6330475090666
