,reasoning,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,,83.68059536585442,56.124668687582016,55.84026774076315,56.68375371052669,74.14923217204901,60.962603445236496,57.62682470679283,57.70311685021107,83.68059536585442,0_examples_with_definition
1,Abductive Reasoning,83.15651696920395,58.15195494890213,56.62356638908386,47.19565808773041,81.24415183067322,86.08287799358368,81.6116418838501,81.2581444978714,86.08287799358368,2_examples_without_definition
2,Analogical Reasoning,83.76433344682057,80.9666259156333,82.81276077694363,82.78971581988864,81.55893993377686,78.97946517997318,81.06424525048998,81.11235744423337,83.76433344682057,0_examples_with_definition
3,Causal Reasoning,68.07673636078835,12.776786252856255,12.89107570052147,12.471359014511108,79.85249710083008,19.5048249065876,21.929241687059402,18.74785815179348,79.85249710083008,0_examples_without_definition
4,Commonsense Reasoning,82.25860976775488,64.65154886643091,63.99143183231354,64.4227276245753,82.26477372646332,60.152270269393924,61.24533931016922,60.90219472646713,82.26477372646332,0_examples_without_definition
5,Cross-document Reasoning,75.51370584964752,9.758659541606903,12.333290994167328,11.557999968528748,80.34415692090988,51.728868901729584,46.5283066034317,47.806257128715515,80.34415692090988,0_examples_without_definition
6,Deductive Reasoning,58.68792885541916,5.1534823179244995,0.8435527682304382,1.6929025650024414,85.61214518547058,26.5283465385437,21.504722774028778,17.055342197418213,85.61214518547058,0_examples_without_definition
7,Discrete Reasoning,75.51370584964752,9.758659541606903,12.333290994167328,11.557999968528748,80.34415692090988,51.728868901729584,46.5283066034317,47.806257128715515,80.34415692090988,0_examples_without_definition
8,Logical Reasoning,79.94220840930939,79.96811282634735,79.95306158065796,79.93802499771118,80.16497504711151,1.598724126815796,6.481184363365173,0.0,80.16497504711151,0_examples_without_definition
9,Multihop Reasoning,76.97746063035632,23.500943609646388,25.19345401771485,24.618719258005658,79.84161693898459,57.68420033984714,52.39652281715756,53.411099456605456,79.84161693898459,0_examples_without_definition
10,Numerical Reasoning,75.51370584964752,9.758659541606903,12.333290994167328,11.557999968528748,80.34415692090988,51.728868901729584,46.5283066034317,47.806257128715515,80.34415692090988,0_examples_without_definition
11,Quantitative Reasoning,69.34389877319336,30.186968207359314,32.14033834139506,31.034366210301716,78.10493326187134,32.1419708331426,40.08819909890493,39.9096736907959,78.10493326187134,0_examples_without_definition
12,Reasoning on Actions,86.79787214597066,55.94932174682617,51.584261099497475,52.33228309949239,69.32496070861816,69.27536884943645,59.00204384326935,59.65432918071747,86.79787214597066,0_examples_with_definition
13,Reasoning on Objects,91.6580536365509,52.54024529457092,54.609859466552734,52.284961104393005,83.78701615333557,83.00774872303009,78.98346972465515,81.20783472061157,91.6580536365509,0_examples_with_definition
14,Reasoning on Social Interactions,86.3281991992678,48.60343769618443,44.91091515336718,46.135561977113994,69.80989711625236,48.79120123386383,46.85040998458862,44.8833144903183,86.3281991992678,0_examples_with_definition
15,Relational Reasoning,84.22230918840928,78.37760775739497,79.69201123714447,79.83697286519137,81.69618607651104,79.68671668659557,81.51648130200125,81.26105080951343,84.22230918840928,0_examples_with_definition
16,Temporal Reasoning,81.56453724702199,27.798457264900208,26.980304837226868,30.903506596883137,84.07170220216115,49.13105833530426,46.363189339637756,47.67699408531189,84.07170220216115,0_examples_without_definition
17,Textual Entailment,83.87156118949254,37.234290386239685,38.911095882455506,38.35166279474894,82.24730183680852,43.027668525775276,42.92095762987932,39.53082953393459,83.87156118949254,0_examples_with_definition
