,reasoning,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,,87.80952594601192,92.47072671009944,92.8920833491362,92.82579380503067,84.51251189525311,90.00103336801895,90.96992529126314,91.00594339233179,92.8920833491362,4_examples_with_definition
1,Abductive Reasoning,87.28409940004349,91.09622532129288,91.35977351665497,91.3035979270935,85.27753192186356,88.82819730043411,90.04674136638641,89.86374652385712,91.35977351665497,4_examples_with_definition
2,Analogical Reasoning,87.16405137379964,86.28495044178433,89.14760200182597,89.12565484311845,85.23144992192586,83.49924920664893,83.01437538199954,82.95952298906114,89.14760200182597,4_examples_with_definition
3,Causal Reasoning,90.60846583545208,93.00447237491608,93.34832210838795,93.07228723168373,80.92693097889423,88.86261896789074,90.82084567844868,90.73771940171719,93.34832210838795,4_examples_with_definition
4,Commonsense Reasoning,89.69941183328629,92.91624319950739,94.28282190958659,94.31147108475368,84.00088588396709,88.95033863782882,90.34359923998515,90.42174894014994,94.31147108475368,8_examples_with_definition
5,Cross-document Reasoning,91.70269656181335,95.2642919421196,95.23162651062012,95.32736587524414,83.65275597572327,86.78063702583313,87.6074076294899,87.81488329172134,95.32736587524414,8_examples_with_definition
6,Deductive Reasoning,86.19510215520859,91.03553503751755,92.70095354318619,92.57922041416168,82.43041092157364,88.1698825955391,90.32586175203323,90.94342648983002,92.70095354318619,4_examples_with_definition
7,Discrete Reasoning,91.70269656181335,95.2642919421196,95.23162651062012,95.32736587524414,83.65275597572327,86.78063702583313,87.6074076294899,87.81488329172134,95.32736587524414,8_examples_with_definition
8,Logical Reasoning,96.18955373764038,92.93980097770691,92.89909374713898,92.8960520029068,77.18428778648376,81.74993097782135,81.55360949039459,80.66280734539032,96.18955373764038,0_examples_with_definition
9,Multihop Reasoning,90.60652109365614,93.99527344438765,93.9989836916091,94.10632224310012,83.23383553633614,87.09750899246761,87.93681964041694,88.03522487481435,94.10632224310012,8_examples_with_definition
10,Numerical Reasoning,91.70269656181335,95.2642919421196,95.23162651062012,95.32736587524414,83.65275597572327,86.78063702583313,87.6074076294899,87.81488329172134,95.32736587524414,8_examples_with_definition
11,Quantitative Reasoning,91.9657381772995,93.96079607804616,93.94703849156697,93.1852742433548,78.79433143138885,90.38627485434215,92.74411118030548,92.85713970661163,93.96079607804616,2_examples_with_definition
12,Reasoning on Actions,88.19484249750774,92.0290139913559,92.03509716192882,92.30648036797841,82.84615969657898,88.96516680717468,89.20794959863026,89.6414391597112,92.30648036797841,8_examples_with_definition
13,Reasoning on Objects,88.6399496793747,92.09777164459229,91.95580661296844,91.83587062358856,86.61580157279968,92.97240805625916,93.08050262928009,92.88198435306549,93.08050262928009,4_examples_without_definition
14,Reasoning on Social Interactions,88.29617788110461,92.6507488318852,93.54234923635211,93.90870606899261,81.62867024966648,84.85591667039054,85.88096044744763,86.04272590364728,93.90870606899261,8_examples_with_definition
15,Relational Reasoning,86.84170510552146,86.40016587214036,88.80244597521695,88.79002045501362,84.95607597177678,84.18845759738575,83.8729029677131,83.82472232255068,88.80244597521695,4_examples_with_definition
16,Temporal Reasoning,92.69485183556874,96.39762941996257,96.32717287540436,96.30927646160126,86.39949528376262,89.09054577350616,89.65263676643372,89.67380754152934,96.39762941996257,2_examples_with_definition
17,Textual Entailment,88.62923448781173,96.58063395321369,97.0699841628472,96.99306140840054,82.46193692584832,89.93246673047543,92.61034968495369,92.66670351227124,97.0699841628472,4_examples_with_definition
