domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Anthropology,70.46340990066528,70.46340924501419,70.46340924501419
Books,57.50332283973694,57.503322879473366,57.503322879473366
Captions,74.74550110953194,74.74550334044865,74.74550334044865
Code,93.20069324970245,93.20069324970245,93.20069324970245
Commonsense,44.10946260929108,44.109463119506835,44.109463119506835
Computer Science,0.0,0.0,0.0
Debatepedia,1.6417484283447266,1.6417479515075684,1.6417479515075684
Dialogue,61.617719066770455,61.61771994515469,61.61771994515469
Economics,81.27720832824707,81.27720832824707,81.27720832824707
English Exams,61.81120729446411,61.81120729446411,61.81120729446411
Fiction,85.00759097508022,85.00759167330605,85.00759167330605
Food,78.20027774572372,78.20027977228165,78.20027977228165
Formal logic,60.462695956230164,60.462695837020874,60.462695837020874
Government and Politics,65.03384359180927,65.03384412825108,65.03384412825108
History,81.18663010001183,81.18663038313389,81.18663038313389
Justice,70.46340990066528,70.46340924501419,70.46340924501419
Knowledge Base,76.03688907623291,76.03688943386078,76.03688943386078
Law,74.1545786517007,74.15457916259766,74.15457916259766
Linguistics,93.20069324970245,93.20069324970245,93.20069324970245
Miscellaneous,41.937530532479286,41.93753135204315,41.93753135204315
Movies,60.998331785202026,60.99833345413208,60.99833345413208
Narrative,64.46073585748672,64.4607353657484,64.4607353657484
Natural Science,63.596136957407,63.59613862633705,63.59613862633705
News,41.188563501581235,41.18856321623985,41.18856321623985
Nutrition,67.84770572185516,67.84771037101746,67.84771037101746
Professions,78.18927717208862,78.18927764892578,78.18927764892578
Public Places,61.10246447722117,61.10246467590332,61.10246467590332
Reviews,43.46248344580332,43.46248312791189,43.46248312791189
School Science Textbooks,70.46340990066528,70.46340924501419,70.46340924501419
Scientific Research Papers,24.259566634893417,24.259566843509674,24.259566843509674
Social Media,84.07975363731384,84.07975053787231,84.07975053787231
Sports,71.54596837667319,71.54596837667319,71.54596837667319
Statistics,71.54596837667319,71.54596837667319,71.54596837667319
Story,71.6510900259018,71.6510880947113,71.6510880947113
Web,58.88576257228851,58.885765343904495,58.885765343904495
Wikipedia,46.11463963985443,46.11464007876136,46.11464007876136
