,reasoning,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,,47.691226282945046,54.574717225936745,57.92668304993556,58.04519793849725,41.33663488122133,53.61681658488054,54.10488871656931,55.15666760160373,58.04519793849725,8_examples_with_definition
1,Abductive Reasoning,46.283139288425446,0.0,0.0,0.0,38.37280231714249,51.752339601516724,30.75651115179062,30.612517178058624,51.752339601516724,2_examples_without_definition
2,Analogical Reasoning,32.61428223715888,77.11217913362715,76.49963985549078,77.2389804257287,24.41228527492947,12.70576943291558,11.962933659553528,12.802182568444145,77.2389804257287,8_examples_with_definition
3,Causal Reasoning,25.804919496178627,72.82503555715084,78.8472191542387,78.88502615690231,26.73278895020485,28.996463790535927,46.039799615740776,43.99188047647476,78.88502615690231,8_examples_with_definition
4,Commonsense Reasoning,42.746012127399446,66.3525274157524,66.44978941679001,67.0840566833814,37.628646564483645,31.31140966018041,31.38666474421819,29.365335047245026,67.0840566833814,8_examples_with_definition
5,Cross-document Reasoning,2.4188239574432373,11.61485630273819,33.774443209171295,33.75759309530258,29.645675599575043,40.383748948574066,63.15168958902359,63.21476900577545,63.21476900577545,8_examples_without_definition
6,Deductive Reasoning,87.34477001428604,3.213112533092499,10.41505742073059,10.392798662185669,70.70995086431503,20.674472749233246,23.80959141254425,19.006262719631195,87.34477001428604,0_examples_with_definition
7,Discrete Reasoning,2.4188239574432373,11.61485630273819,33.774443209171295,33.75759309530258,29.645675599575043,40.383748948574066,63.15168958902359,63.21476900577545,63.21476900577545,8_examples_without_definition
8,Logical Reasoning,3.085829019546509,77.17240285873413,77.15663623809814,77.12978565692902,26.60375940799713,1.524487853050232,1.5244879722595215,3.0957666635513306,77.17240285873413,2_examples_with_definition
9,Multihop Reasoning,16.683155345538307,27.16124417289855,44.93738091181195,44.795192896373685,30.53500709079561,50.145778958759614,68.29284902602907,68.29126127182491,68.29284902602907,4_examples_without_definition
10,Numerical Reasoning,2.4188239574432373,11.61485630273819,33.774443209171295,33.75759309530258,29.645675599575043,40.383748948574066,63.15168958902359,63.21476900577545,63.21476900577545,8_examples_without_definition
11,Quantitative Reasoning,0.0,67.5264333486557,77.47538475195567,75.87457648913066,8.894990881284079,31.510782798131306,52.9331032037735,50.37858867645264,77.47538475195567,4_examples_with_definition
12,Reasoning on Actions,82.1041579246521,20.068666140238445,15.403201460838318,14.902551611264547,47.80542457103729,71.1158967812856,69.1204149723053,71.15635041395824,82.1041579246521,0_examples_with_definition
13,Reasoning on Objects,92.75677561759949,1.6405540704727173,5.0515663623809814,5.049737453460693,78.37687838077545,57.22630190849304,55.33738696575165,57.737539529800415,92.75677561759949,0_examples_with_definition
14,Reasoning on Social Interactions,62.879080057144165,47.55395564011165,42.808196033750264,40.95920305592673,24.08200720378331,33.77024345738547,34.94512157780783,33.8329553433827,62.879080057144165,0_examples_with_definition
15,Relational Reasoning,38.919310363856226,74.71298866922206,74.82315797155553,75.67985837026076,33.339815269817,18.241492661562834,17.49786001985723,18.09362132982774,75.67985837026076,8_examples_with_definition
16,Temporal Reasoning,18.09314755598704,35.59374129772186,50.97175316015879,50.36174952983856,41.319807171821594,29.452138861020405,44.602891524632774,44.6203263203303,50.97175316015879,4_examples_with_definition
17,Textual Entailment,56.80927650630474,67.24611942470074,72.63783045609792,72.82196029027303,49.69519738852978,36.8692551702261,43.254369954268135,42.34112749993801,72.82196029027303,8_examples_with_definition
