domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Fiction,88.0584146635873,88.14608330386025,88.14608330386025
Books,86.22797067960103,86.20954283078511,86.20954283078511
Economics,83.97401249408722,84.25774359703064,84.25774359703064
Law,88.25812191622597,88.32401147910527,88.32401147910527
Government and Politics,86.55661037564278,86.62179887294769,86.62179887294769
History,89.65843197703362,89.71999379992485,89.71999379992485
Computer Science,85.5623596906662,85.44814074039459,85.44814074039459
Natural Science,86.38914906978607,86.41952568292618,86.41952568292618
Nutrition,84.39270114898682,84.45816969871521,84.45816969871521
Food,84.44361209869385,84.36114901304245,84.36114901304245
Social Media,85.43132758140564,85.55741763114929,85.55741763114929
News,87.06121825157328,87.12532217515276,87.12532217515276
