,domains,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Anthropology,93.18339878320694,52.944857358932495,49.03940296173096,53.87639111280441,92.34839344024658,42.421380400657654,44.226962983608246,47.06400811672211,93.18339878320694,0_examples_with_definition
1,Books,89.65151210625966,79.78501792748769,86.18110553423564,85.82830770810445,81.2556334733963,82.54921066761017,86.3757586479187,86.3926392396291,89.65151210625966,0_examples_with_definition
2,Captions,86.03873731408801,72.24486267566681,76.78496621336255,75.8846229996,82.68786675589425,54.84789589473179,53.06421211787632,51.347348059926716,86.03873731408801,0_examples_with_definition
3,Code,88.73161923885345,68.27359640598297,83.0520008802414,82.20411288738251,32.805434823036194,77.23432755470276,83.13536250591278,82.99512195587158,88.73161923885345,0_examples_with_definition
4,Commonsense,79.9340445804596,54.16601657390594,51.814118213653565,52.18871503353119,81.26196444988251,51.739455947875975,51.278166794776915,49.40806911945343,81.26196444988251,0_examples_without_definition
5,Computer Science,56.985405921936035,73.0397469997406,80.6488789319992,80.52514708042145,44.611348152160645,71.53967297077179,80.51770794391632,80.50294816493988,80.6488789319992,4_examples_with_definition
6,Debatepedia,87.98335862159729,2.000000238418579,0.0,0.0,83.99859297275543,7.9957756996154785,0.0,11.529963254928589,87.98335862159729,0_examples_with_definition
7,Dialogue,86.32937583797856,62.353146716168055,61.37533656546944,61.51223694023333,78.76443697904286,66.96162139741998,66.71536878535622,65.44320929677863,86.32937583797856,0_examples_with_definition
8,Economics,73.79353404045105,3.465305209159851,11.681721329689026,14.68210506439209,80.2326511144638,17.206599712371826,21.26834511756897,19.24772834777832,80.2326511144638,0_examples_without_definition
9,English Exams,87.41388320922852,88.37959551811218,88.19695973396301,88.14280474185944,89.75740230083466,88.04393923282623,87.77288472652435,88.03800690174103,89.75740230083466,0_examples_without_definition
10,Fiction,93.25105857849121,70.57375996453422,70.42876158441815,71.1778620311192,87.84429853303092,72.21767367635455,72.76319103581565,72.14407772677285,93.25105857849121,0_examples_with_definition
11,Food,89.24026429653168,76.50257188081741,78.64803797006607,77.11991119384766,78.11971366405487,83.02968668937683,80.40259379148483,78.63891118764877,89.24026429653168,0_examples_with_definition
12,Formal logic,89.20744454860687,14.967625260353088,8.71744155883789,7.026166081428528,83.38879299163818,61.189109206199646,60.42177772521973,56.207398891448975,89.20744454860687,0_examples_with_definition
13,Government and Politics,91.08760231733322,66.69521602988243,72.10385057330132,69.20306625962257,80.65760925412178,78.44929446280003,77.3941041380167,76.65361198782921,91.08760231733322,0_examples_with_definition
14,History,93.66271597146988,64.65049576759338,63.54182253777981,65.4099957793951,89.30467078089714,63.70288896560669,64.65282681584358,64.82291452586651,93.66271597146988,0_examples_with_definition
15,Justice,93.18339878320694,52.944857358932495,49.03940296173096,53.87639111280441,92.34839344024658,42.421380400657654,44.226962983608246,47.06400811672211,93.18339878320694,0_examples_with_definition
16,Knowledge Base,85.12556326389313,59.13561010360718,81.17770338058472,81.20493721961975,82.18078100681305,81.11527836322784,81.41940987110138,81.32744574546814,85.12556326389313,0_examples_with_definition
17,Law,92.56670541422707,68.2252162524632,68.21893194743565,68.75926337923322,85.33317123140607,71.35950423989978,70.23894270828792,70.4632328237806,92.56670541422707,0_examples_with_definition
18,Linguistics,88.73161923885345,68.27359640598297,83.0520008802414,82.20411288738251,32.805434823036194,77.23432755470276,83.13536250591278,82.99512195587158,88.73161923885345,0_examples_with_definition
