model_name,Add Definition,Add Paraphrased Definition,Examples,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Gemma-2B,True,False,4,86.41036756109663,86.161833663066,86.37618639421265
Mistral-7B,True,False,0,50.422051298509686,50.42205166563246,50.42205166563246
Gemma-7B,True,False,0,81.0554203424267,81.01944032750981,81.01944032750981
Llama-3-8B,True,False,0,82.72742397914736,83.12055373409089,83.04743322515826
Falcon-2-11B,True,False,8,86.18402800222881,86.11710431746361,86.12196765213933
Gemma-2B-I,True,False,4,87.95928441474706,88.00578070623888,87.91423676292982
Phi-3-mini-128k-I,True,False,0,55.38879916992213,55.42932721646487,55.42932721646487
Mistral-7B-I,True,False,0,88.29053025208653,88.29053006198734,88.2905302249295
Gemma-7B-I,True,False,0,85.14216855555581,85.15016858717738,85.15016858717738
Llama-3-8B-I,True,False,0,84.11190849057814,84.11796236215231,84.18434569250681
