,domains,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Anthropology,95.36119616031647,93.560771048069,93.72034674882889,93.94536584615707,92.56132352352142,93.57030564546585,93.57816648483276,93.49482524394989,95.36119616031647,0_examples_with_definition
1,Books,94.18715445200603,94.08308001359303,92.77376711368561,93.26794445514679,84.82772266864777,90.13105984528859,90.55827017625172,90.71414828300476,94.18715445200603,0_examples_with_definition
2,Captions,93.15506080218724,90.22727031367165,89.00715926715306,88.75465338570731,83.45138195582798,87.32961714267731,87.48804712295532,87.07455239977155,93.15506080218724,0_examples_with_definition
3,Code,88.25156331062317,98.87215614318848,98.17006587982178,96.93920090794563,83.80568671226501,93.34616005420685,96.14929676055908,96.54653310775757,98.87215614318848,2_examples_with_definition
4,Commonsense,88.76522522449494,87.83972153186798,87.50260854244232,87.6253377532959,85.55779824733735,85.42933431625366,85.6468453836441,85.67697053432465,88.76522522449494,0_examples_with_definition
5,Computer Science,86.98595225811005,86.59396421909332,87.32577502727509,87.57609933614731,84.62114775180817,86.5815235376358,86.24946630001068,86.46606636047363,87.57609933614731,8_examples_with_definition
6,Debatepedia,84.20143628120422,85.3684196472168,85.49833953380585,85.13133037090302,83.17711544036865,86.01935458183289,85.89833354949951,85.95357167720795,86.01935458183289,2_examples_without_definition
7,Dialogue,87.45188991647018,89.20527481405358,89.02741129774796,89.1685612578141,83.06585509526103,86.09965186997464,86.9772078112552,87.09109508363824,89.20527481405358,2_examples_with_definition
8,Economics,82.67194557189941,85.06392085552216,87.3397924900055,87.85427141189575,84.84152901172638,84.43691682815552,84.27909231185913,84.23581719398499,87.85427141189575,8_examples_with_definition
9,English Exams,93.72315263748169,90.41415929794312,91.35366380214691,91.26488518714905,89.23291480541229,90.1764520406723,89.85284638404846,90.22541952133179,93.72315263748169,0_examples_with_definition
10,Fiction,93.04921223436084,93.08348638670785,93.24152081353324,93.53306126594543,87.62767723628453,90.38332569599152,92.20609039919717,92.4784174987248,93.53306126594543,8_examples_with_definition
11,Food,85.56939083337784,85.94069409370422,84.88829922676086,86.07315427064896,82.66604459285736,84.64627999067307,84.78519624471664,85.19909179210663,86.07315427064896,8_examples_with_definition
12,Formal logic,93.98263931274414,81.93309926986694,81.50054264068604,81.56247448921204,83.90736615657806,84.62211656570435,84.80150139331818,85.22093319892883,93.98263931274414,0_examples_with_definition
13,Government and Politics,89.78723357617855,90.52092207968235,90.43419177830219,90.3817228525877,86.7056430876255,88.34874810278416,89.96213482320309,90.26386646926403,90.52092207968235,2_examples_with_definition
14,History,93.12742127478123,92.74648259580135,93.14073179662228,93.36022016406059,89.18680001795292,91.42685955762863,93.12723435461521,93.3063815832138,93.36022016406059,8_examples_with_definition
15,Justice,95.36119616031647,93.560771048069,93.72034674882889,93.94536584615707,92.56132352352142,93.57030564546585,93.57816648483276,93.49482524394989,95.36119616031647,0_examples_with_definition
16,Knowledge Base,88.48756420612335,89.78883111476898,89.01807343959808,90.1451804637909,86.89603340625763,87.62337303161621,87.69584310054779,87.48817336559296,90.1451804637909,8_examples_with_definition
17,Law,91.78634645360889,92.47505311171214,92.9475268125534,93.16517160336177,87.94217314038958,90.51493677400774,92.9769236445427,93.24356702963512,93.24356702963512,8_examples_without_definition
18,Linguistics,88.25156331062317,98.87215614318848,98.17006587982178,96.93920090794563,83.80568671226501,93.34616005420685,96.14929676055908,96.54653310775757,98.87215614318848,2_examples_with_definition
19,Miscellaneous,87.06303468346596,85.16333189606667,85.65303964912891,85.79123236238956,82.71091288328171,84.51783746480942,84.04405032098293,83.93203268945217,87.06303468346596,0_examples_with_definition
20,Movies,86.01673698425293,95.1375527381897,94.40131974220276,94.04958319664001,82.2463995218277,88.61603105068207,88.8644654750824,88.26765060424805,95.1375527381897,2_examples_with_definition
21,Narrative,86.24869062006474,86.76128228008747,87.21491108834743,87.18533201515675,84.64882983267307,84.2903613448143,84.26739206910133,84.25673581659794,87.21491108834743,4_examples_with_definition
22,Natural Science,86.17979356646538,89.24545356631279,88.5806670486927,88.59326350688934,85.89837169647217,86.733912140131,86.72123551368713,86.6008867919445,89.24545356631279,2_examples_with_definition
23,News,87.89775021215702,88.69166622901786,89.14002339754786,88.72257384561723,87.02029814111425,87.86786877057132,88.1243723450285,87.94982863195014,89.14002339754786,4_examples_with_definition
24,Nutrition,85.57479548454285,90.1085147857666,87.97760093212128,90.11228585243225,83.10326814651489,86.21595025062561,86.24922573566437,86.9282546043396,90.11228585243225,8_examples_with_definition
25,Professions,88.79254281520844,93.48205983638763,93.46645879745483,94.68238234519958,84.19884276390076,86.43096768856049,86.13086974620819,86.81094944477081,94.68238234519958,8_examples_with_definition
26,Public Places,88.25286185741425,88.961878657341,88.65427958965302,88.75039660930634,86.16711302598317,87.57139352957408,88.0469942887624,88.21248781681061,88.961878657341,2_examples_with_definition
27,Reviews,87.003963748614,87.51007231076558,87.13692804177602,87.18320178985596,86.01952660083771,86.9804626305898,87.28697959582011,87.35170114040375,87.51007231076558,2_examples_with_definition
28,School Science Textbooks,95.36119616031647,93.560771048069,93.72034674882889,93.94536584615707,92.56132352352142,93.57030564546585,93.57816648483276,93.49482524394989,95.36119616031647,0_examples_with_definition
29,Scientific Research Papers,84.67060947418213,85.98505964875221,86.4908150434494,86.88580298423767,84.5736800134182,85.21422499418259,85.3673954308033,85.4170731306076,86.88580298423767,8_examples_with_definition
30,Social Media,90.87379193305969,86.70883673429489,86.78437161445618,86.5458135008812,82.44212883710861,83.70250153541565,83.44662970304489,83.82695317268372,90.87379193305969,0_examples_with_definition
31,Sports,77.33943737470187,,,,80.01024081156804,,,,80.01024081156804,0_examples_without_definition
32,Statistics,77.33943737470187,,,,80.01024081156804,,,,80.01024081156804,0_examples_without_definition
33,Story,86.60453360080719,87.97744913101197,88.28713147640228,88.0306321144104,84.3873962879181,85.22905507087708,85.12730724811554,85.29006276130676,88.28713147640228,4_examples_with_definition
34,Web,87.02025327086449,89.91385513544083,90.16895359754562,89.62501648068428,86.01544278860092,87.60745707154274,86.84876847267151,87.13130271434784,90.16895359754562,4_examples_with_definition
35,Wikipedia,87.78818834265438,88.88078601719279,88.84233462323043,89.03357356951382,85.62655938874691,87.10375202624179,87.49123801293733,87.51298510237952,89.03357356951382,8_examples_with_definition
