categories,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Answerability Classification,87.49734584184793,87.80471840271584,86.4669617322775
Cause Effect Classification,76.28355119909558,77.8329896245684,78.81075370311737
Coreference Resolution,78.76256161928177,78.21614359106336,79.21018115963254
Data to Text,86.70973622463119,86.09647227564888,86.24570137458228
Dialogue Act Recognition,83.69587336267743,84.19121270520347,83.12277173995972
Grammar Error Correction,87.41388320922852,87.23461723327637,87.94840550422668
Keyword Tagging,83.96935698986053,84.86229043006897,84.36846196651459
Overlap Extraction,85.26946741342545,85.03761696815491,85.01528519392014
Question Rewriting,87.20844236287203,87.22808782620864,87.8090506141836
Textual Entailment,83.96186386545499,84.99004981915157,84.635121067365
Title Generation,77.12122970157199,77.79496690299776,77.68878766563203
Word Analogy,83.21633380651474,83.25605620443821,83.25734589993954
