,domains,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Anthropology,91.89750427007675,93.04919350147247,93.2124816775322,93.21491038799286,91.41561710834503,92.30799216032028,92.31088781356812,92.37242788076401,93.21491038799286,8_examples_with_definition
1,Books,84.6624295314153,84.97853636741638,85.14134518305461,84.80507334073384,82.25714941819508,83.92731014887492,83.78046814600627,83.75008857250214,85.14134518305461,4_examples_with_definition
2,Captions,84.22071037973676,84.79302752017975,84.56225843088967,84.50699646132333,81.79177636759621,84.12413365500313,84.89724928992135,84.84352363858905,84.89724928992135,4_examples_without_definition
3,Code,82.97887551784515,81.63584399223328,82.30192077159882,82.51931989192963,81.14854943752289,81.95079910755157,83.26084780693054,83.09201335906982,83.26084780693054,4_examples_without_definition
4,Commonsense,83.37502504825592,83.20681037902833,82.88891824245452,82.95477544784546,82.58942745685577,83.59503730773926,83.52054911613465,83.46613948345184,83.59503730773926,2_examples_without_definition
5,Computer Science,82.47435069084167,81.8456619977951,80.60176312923431,80.36988604068756,84.23404276371002,82.27147841453552,80.3395277261734,80.61356270313263,84.23404276371002,0_examples_without_definition
6,Debatepedia,84.37589478492737,85.59075546264648,84.53173279762268,85.72603607177734,82.51178407669067,84.37665057182312,83.86751699447632,84.98119747638702,85.72603607177734,8_examples_with_definition
7,Dialogue,83.86440647903241,83.93175531688489,84.23982150931107,84.14171838760376,81.14306656310433,83.40085638824262,83.68295722886135,83.89589117702685,84.23982150931107,4_examples_with_definition
8,Economics,82.9912760257721,83.8815848827362,84.11992084980011,83.79547452926636,83.02187716960907,85.05797064304352,85.21533811092377,86.13983869552612,86.13983869552612,8_examples_without_definition
9,English Exams,87.84132301807404,87.22399687767029,87.4720025062561,87.44480884075165,87.09834337234497,85.15900921821594,85.38173222541809,85.11513257026672,87.84132301807404,0_examples_with_definition
10,Fiction,87.6386638368879,87.22933650016785,87.85730183124542,87.67359440667289,85.50996208190918,87.22150468826294,87.47539571353367,87.5570217541286,87.85730183124542,4_examples_with_definition
11,Food,84.81578344106674,81.23575222492218,81.33341336250305,81.51807659864426,81.85617554187775,82.16793435811996,82.38673275709152,82.20686203241348,84.81578344106674,0_examples_with_definition
12,Formal logic,82.91379070281982,84.20614087581635,84.2749936580658,84.64453566074371,81.29227387905121,84.32989156246185,84.03361201286316,83.65884983539581,84.64453566074371,8_examples_with_definition
13,Government and Politics,85.85909181833267,84.62701591849327,85.12582387030125,84.76057207584381,84.39646790921688,85.64469636976719,85.79309977591038,85.79140101373196,85.85909181833267,0_examples_with_definition
14,History,89.14304608106613,89.30636405944824,89.89283587038517,89.76712898910046,87.4560298025608,89.21040837466717,89.43440094590187,89.54566575586796,89.89283587038517,4_examples_with_definition
15,Justice,91.89750427007675,93.04919350147247,93.2124816775322,93.21491038799286,91.41561710834503,92.30799216032028,92.31088781356812,92.37242788076401,93.21491038799286,8_examples_with_definition
16,Knowledge Base,86.25772142410278,82.96967768669128,81.19230496883392,81.20482349395752,84.86982321739197,85.3198858499527,81.36991143226624,81.40349662303925,86.25772142410278,0_examples_with_definition
17,Law,87.79898619651794,87.80554584094456,88.60608669689724,88.49464283670697,86.21205345221928,88.1816930600575,88.34485580239978,88.54593990530286,88.60608669689724,4_examples_with_definition
18,Linguistics,82.97887551784515,81.63584399223328,82.30192077159882,82.51931989192963,81.14854943752289,81.95079910755157,83.26084780693054,83.09201335906982,83.26084780693054,4_examples_without_definition
19,Miscellaneous,84.83261555433273,84.50494366884232,84.45568396151066,84.28933018445969,81.05431443452835,83.76199495792389,84.01257498562336,83.99193519353867,84.83261555433273,0_examples_with_definition
20,Movies,86.04570245742798,87.04028844833374,87.33825814723969,86.86147475242615,81.17682230472565,84.41650807857513,84.13301384449005,84.48220348358154,87.33825814723969,4_examples_with_definition
21,Narrative,82.88210834562778,83.88253475725651,83.57801784574986,83.36723919212818,82.37796020507812,84.04236368834972,84.05149380862713,84.11957976222038,84.11957976222038,8_examples_without_definition
22,Natural Science,83.93479418754578,84.64474338293076,84.48763862252235,84.62145891785622,83.15938547253609,84.97833475470543,84.78750228881836,84.4839680492878,84.97833475470543,2_examples_without_definition
23,News,86.59194083289897,86.309524371903,86.02217619723461,86.1485315605681,86.40320323249126,86.5370012027152,85.84151814909691,86.01560101230093,86.59194083289897,0_examples_with_definition
24,Nutrition,86.15589535236359,82.08768057823181,82.08683359622955,82.09729647636414,82.00632202625275,82.76926457881927,82.76895880699158,82.76957297325134,86.15589535236359,0_examples_with_definition
25,Professions,82.85645139217377,82.6492508649826,82.2236338853836,82.26940202713013,81.37742948532104,82.78670632839203,82.51834046840668,82.55924093723297,82.85645139217377,0_examples_with_definition
26,Public Places,85.17809808254242,84.79287612438202,84.90892608960469,84.98489499092102,83.93197743097942,85.00267541408539,85.62887577215831,85.14082105954488,85.62887577215831,4_examples_without_definition
27,Reviews,85.3354726632436,85.08383516470592,84.98276261488597,85.03667557239532,84.80108571052551,84.51113295555115,85.24617779254913,84.97113704681396,85.3354726632436,0_examples_with_definition
28,School Science Textbooks,91.89750427007675,93.04919350147247,93.2124816775322,93.21491038799286,91.41561710834503,92.30799216032028,92.31088781356812,92.37242788076401,93.21491038799286,8_examples_with_definition
29,Scientific Research Papers,82.50076073408127,82.49159163236618,82.80552011728287,82.54110360145569,83.38784340023994,83.94493892788887,83.22679913043976,83.20691522955894,83.94493892788887,2_examples_without_definition
30,Social Media,84.90226030349731,84.83385908603668,84.60115611553192,84.83910894393921,82.17912256717682,86.05807399749756,85.24849545955658,85.26520103216171,86.05807399749756,2_examples_without_definition
31,Sports,84.15496670282803,79.5888201548503,74.94788949306195,75.37849430854504,80.50010387714093,81.26878509154686,75.67951197807605,76.2641354249074,84.15496670282803,0_examples_with_definition
32,Statistics,84.15496670282803,79.5888201548503,74.94788949306195,75.37849430854504,80.50010387714093,81.26878509154686,75.67951197807605,76.2641354249074,84.15496670282803,0_examples_with_definition
33,Story,84.06629219055176,84.82231209278106,84.61822474002838,84.60462305545806,82.46079812049865,84.84051723480225,85.17752280235291,85.08046660423278,85.17752280235291,4_examples_without_definition
34,Web,83.95280876755714,86.23748463392258,86.77734324336052,85.81634014844894,83.3373005092144,86.53340646624565,86.56311070919037,86.62626168131828,86.77734324336052,4_examples_with_definition
35,Wikipedia,85.17053800279444,85.25896511836486,85.02590135552667,84.86502887444063,84.23423322222449,85.63530005650087,85.49470708586954,85.77580855651335,85.77580855651335,8_examples_without_definition
