reasoning,Gemma-2B,Falcon-2-11B,Gemma-2B-I,Mistral-7B-I,GPT-3.5-T,GPT-4o,DS-2
,86.23285580769495,86.40852120136009,88.17390397022537,92.82579380503067,93.30698768450664,94.01365119677324,90.9878625365404
Abductive Reasoning,87.57676726579666,89.6455710530281,88.36133080720901,91.3035979270935,91.99536848068237,92.10684704780579,91.07838177680969
Analogical Reasoning,82.8396829366684,81.20280030038622,88.6476897266176,89.12565484311845,94.61358843909369,96.95424779256184,88.91306263870663
Causal Reasoning,86.78446389734745,86.89853262901306,85.06703990697861,93.07228723168373,94.20945459604263,95.87742882966995,90.15632469952106
Commonsense Reasoning,86.64741035699845,85.4891661087672,88.95687971909841,94.31147108475368,95.98195150693257,97.82492723067601,91.34882254600525
Cross-document Reasoning,94.5692463517189,92.07079964876175,91.88189315795898,95.32736587524414,95.24794787168503,95.53074395656586,89.09740382432938
Deductive Reasoning,90.8511803150177,86.42551517486572,89.6127592921257,92.57922041416168,92.04389613866806,94.7470635175705,88.17581361532211
Discrete Reasoning,94.5692463517189,92.07079964876175,91.88189315795898,95.32736587524414,95.24794787168503,95.53074395656586,89.09740382432938
Logical Reasoning,80.8276230096817,79.76923716068268,83.47626304626465,92.8960520029068,96.87657761573792,99.12259292602539,88.08824849128723
Multihop Reasoning,94.5692463517189,92.07079964876175,91.88189315795898,94.10632224310012,93.74705401677934,94.08357545496925,89.00947225472284
Numerical Reasoning,94.5692463517189,92.07079964876175,91.88189315795898,95.32736587524414,95.24794787168503,95.53074395656586,89.09740382432938
Quantitative Reasoning,88.67049435774486,86.05608435471852,84.59395690759023,93.1852742433548,93.04572284221649,95.18639846642812,89.1541113058726
Reasoning on Actions,80.00758703549702,89.72534052530925,85.13071008523305,92.30648036797841,91.64948761463165,92.78053518136342,92.48383748531342
Reasoning on Objects,90.72632575035095,91.3846743106842,89.8967432975769,91.83587062358856,93.6116738319397,93.63881587982178,93.12171399593353
Reasoning on Social Interactions,84.25873821122306,86.00004247256688,87.02904147761208,93.90870606899261,96.35458270141056,96.55106784616198,92.31869493212018
Relational Reasoning,83.23675774444233,82.04874889417128,87.98281393267892,88.79002045501362,93.59764865311709,95.56151192838496,88.96711759133773
Temporal Reasoning,94.0157235066096,91.77002123991649,92.37334561347961,96.30927646160126,96.4522396326065,96.91269036134084,91.2209009329478
Textual Entailment,88.4150044520696,87.40642114977042,87.7780708471934,96.99306140840054,96.23411784569423,98.42820587257545,89.4836158355077
