,categories,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Answerability Classification,89.9261950804637,91.87059555322894,91.33521738552278,91.69151023030281,84.68979882276975,89.2066493164748,89.99332119710743,90.08784945122898,91.87059555322894,2_examples_with_definition
1,Cause Effect Classification,88.03016308375767,87.65206062793732,87.22890462194171,87.26545752797809,85.38634477342877,86.35781947204045,86.30345911639077,86.29207522528512,88.03016308375767,0_examples_with_definition
2,Coreference Resolution,86.60463121107647,87.65728092193604,87.9186692748751,87.99429934365409,83.92382179839271,84.22777049882072,84.09893481220517,84.01502229486194,87.99429934365409,8_examples_with_definition
3,Data to Text,87.59309474571211,87.58992743492126,87.53234635293484,87.72172525525093,85.04872067433568,86.98397378623486,86.80869914591312,87.16184523701668,87.72172525525093,8_examples_with_definition
4,Dialogue Act Recognition,85.6588773386819,88.03835254056114,87.4123386144638,87.52130430085319,82.02656747613635,84.44625685896192,84.58051739420209,84.52984089510781,88.03835254056114,2_examples_with_definition
5,Grammar Error Correction,93.72315263748169,90.41415929794312,91.35366380214691,91.26488518714905,89.23291480541229,90.1764520406723,89.85284638404846,90.22541952133179,93.72315263748169,0_examples_with_definition
6,Keyword Tagging,83.88126275539398,85.13796439170838,85.55650231838226,86.00985424518585,84.45921032428741,85.05294589996338,85.1864842414856,85.19079730510711,86.00985424518585,8_examples_with_definition
7,Overlap Extraction,85.89400106668472,85.48021346330643,85.79953724145889,85.75822567939758,84.50505548715591,86.25385224819183,86.337546646595,85.72222852706909,86.337546646595,4_examples_without_definition
8,Question Rewriting,91.04914350943132,90.42444302818991,89.31455840847708,89.42834214730696,88.06730414520611,88.4889134385369,88.50297477028586,88.66611641103572,91.04914350943132,0_examples_with_definition
9,Textual Entailment,88.42795489231746,87.29688493410747,87.36395824452241,87.32153670986493,82.91918640832107,85.44568473100662,85.86763501167297,85.89301300545533,88.42795489231746,0_examples_with_definition
10,Title Generation,85.99803179845043,86.40579977328099,86.66923575142704,86.58892846744479,85.6204654259628,85.32569382749676,85.52247477951003,85.60040477736324,86.66923575142704,4_examples_with_definition
11,Word Analogy,87.98950800299644,88.06094473600388,88.32030968368053,88.35029691457748,85.74070858955383,84.12768632173538,84.46018248796463,84.41157659888268,88.35029691457748,8_examples_with_definition
