,domains,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Anthropology,70.46340990066528,78.15651953220367,79.07868105173111,78.18974965810776,54.02431684732437,5.654992401599884,5.608783781528473,4.647352159023284,79.07868105173111,4_examples_with_definition
1,Books,57.50332283973694,54.230014046033226,50.17389369010925,51.30329501628876,63.10525663693746,34.95396029949188,33.40664887428284,33.39549215634664,63.10525663693746,0_examples_without_definition
2,Captions,74.74550110953194,65.0799674306597,68.78019906793322,68.47007070268903,71.45482553754535,52.7132317338671,50.18739472116743,48.63027211597988,74.74550110953194,0_examples_with_definition
3,Code,93.20069324970245,71.17930674552917,81.15000677108765,79.86144268512726,14.599184513092041,66.2890168428421,76.08083462715149,77.46550464630127,93.20069324970245,0_examples_with_definition
4,Commonsense,44.10946260929108,52.17405138969421,52.26316222190857,52.61688582897186,22.527279486656187,30.343525619506835,23.815743970870972,19.58293438911438,52.61688582897186,8_examples_with_definition
5,Computer Science,0.0,42.4440541267395,57.49948310852051,57.033323764801025,16.301886439323425,50.487594962120056,69.69817197322845,71.51330089569092,71.51330089569092,8_examples_without_definition
6,Debatepedia,1.6417484283447266,80.80779612064362,80.78938555717468,80.75670182704926,59.16960275173187,3.232720732688904,0.0,4.828797101974487,80.80779612064362,2_examples_with_definition
7,Dialogue,61.617719066770455,61.68213280878569,61.94358311201397,62.177632451057434,51.984863814554714,47.549517255080374,46.80419829644655,46.07785667871174,62.177632451057434,8_examples_with_definition
8,Economics,81.27720832824707,64.27402579784393,64.26744318008423,65.79393696784973,26.342466235160828,0.0,1.5988399982452393,1.5904172658920288,81.27720832824707,0_examples_with_definition
9,English Exams,61.81120729446411,3.2874789237976074,6.587399482727051,6.571977734565735,16.619356513023376,88.12649130821228,90.01625072956085,89.66960680484772,90.01625072956085,4_examples_without_definition
10,Fiction,85.00759097508022,75.34412741661072,74.65462400232043,74.82637538228717,68.5728794506618,40.69212569509234,40.11759504250118,38.96786327021463,85.00759097508022,0_examples_with_definition
11,Food,78.20027774572372,56.44730597734451,55.28245961666107,55.57765340805054,34.02345645427704,79.92277783155441,79.98437798023224,80.8660438656807,80.8660438656807,8_examples_without_definition
12,Formal logic,60.462695956230164,48.0298490524292,51.28389263153076,54.420207381248474,82.96885478496552,65.73811650276184,73.7475506067276,74.8303451538086,82.96885478496552,0_examples_without_definition
13,Government and Politics,65.03384359180927,71.66246576607227,73.76094155013561,74.02471388876438,49.173002406954765,54.05687539279461,52.776717722415924,51.35557386279106,74.02471388876438,8_examples_with_definition
14,History,81.18663010001183,75.75624746084213,76.95150551199913,76.47347827255726,63.495437026023865,37.019358083605766,36.50509160757065,35.0553152859211,81.18663010001183,0_examples_with_definition
15,Justice,70.46340990066528,78.15651953220367,79.07868105173111,78.18974965810776,54.02431684732437,5.654992401599884,5.608783781528473,4.647352159023284,79.07868105173111,4_examples_with_definition
16,Knowledge Base,76.03688907623291,30.471328854560852,56.1343799829483,51.23829925060272,22.63226294517517,74.9313839673996,79.4035793542862,72.84437930583954,79.4035793542862,4_examples_without_definition
17,Law,74.1545786517007,75.85052677563259,77.61007526942662,77.35185025419507,65.56908426965985,50.994727560452056,52.35616796357291,50.664687923022676,77.61007526942662,4_examples_with_definition
18,Linguistics,93.20069324970245,71.17930674552917,81.15000677108765,79.86144268512726,14.599184513092041,66.2890168428421,76.08083462715149,77.46550464630127,93.20069324970245,0_examples_with_definition
19,Miscellaneous,41.937530532479286,60.171540424227715,64.38733603060246,64.15061168372631,25.2852893024683,23.905384823679924,31.568406850099564,30.962549418210983,64.38733603060246,4_examples_with_definition
20,Movies,60.998331785202026,83.6279262304306,84.95513832569122,85.14691042900085,18.340541005134583,73.01083242893219,74.76379418373108,73.0973391532898,85.14691042900085,8_examples_with_definition
21,Narrative,64.46073585748672,53.517817586660385,57.52821047604084,57.27929523587227,63.89434649050236,37.27847574651241,35.90800030529499,36.73559920489788,64.46073585748672,0_examples_with_definition
22,Natural Science,63.596136957407,48.58747774362564,62.18725338578224,67.147495418787,77.55771026015282,12.377829670906067,23.237281322479248,25.73625138401985,77.55771026015282,0_examples_without_definition
23,News,41.188563501581235,68.27912768150898,70.54720145273716,70.00116071802505,46.147165130427545,47.17890927766232,43.475500811287695,43.747164578513896,70.54720145273716,4_examples_with_definition
24,Nutrition,67.84770572185516,85.17655169963837,85.00416731834412,83.57020020484924,11.516673684120178,83.3149882555008,81.41976761817932,83.37674558162689,85.17655169963837,2_examples_with_definition
25,Professions,78.18927717208862,54.840638399124146,74.23321962356567,75.76331949234009,59.90045607089996,93.83320498466492,95.7113299369812,95.71093499660492,95.7113299369812,4_examples_without_definition
26,Public Places,61.10246447722117,28.287102818489075,33.33647267023722,36.70493757724762,29.016259749730427,54.77703237533569,53.6809907356898,54.098561565081276,61.10246447722117,0_examples_with_definition
27,Reviews,43.46248344580332,37.98275621732076,54.0345671971639,57.85244584083557,13.332481066385904,71.62288427352905,74.6913806994756,74.32431364059448,74.6913806994756,4_examples_without_definition
28,School Science Textbooks,70.46340990066528,78.15651953220367,79.07868105173111,78.18974965810776,54.02431684732437,5.654992401599884,5.608783781528473,4.647352159023284,79.07868105173111,4_examples_with_definition
29,Scientific Research Papers,24.259566634893417,59.15324667096138,62.82516619563103,64.5684307217598,41.12189054489136,67.57115718722343,75.6483363211155,76.67983105778694,76.67983105778694,8_examples_without_definition
30,Social Media,84.07975363731384,13.425541520118713,10.102691948413849,6.498983263969421,14.02724701166153,50.80155634880066,43.066850662231445,49.47950488328934,84.07975363731384,0_examples_with_definition
31,Sports,71.54596837667319,86.95504367351532,87.87175669119908,87.24749982357025,33.95551282625932,87.69204822870401,88.06653916835785,87.8162315258613,88.06653916835785,4_examples_without_definition
32,Statistics,71.54596837667319,86.95504367351532,87.87175669119908,87.24749982357025,33.95551282625932,87.69204822870401,88.06653916835785,87.8162315258613,88.06653916835785,4_examples_without_definition
33,Story,71.6510900259018,23.368848085403442,20.877637243270875,20.04551272392273,62.60650985240936,38.22810399532318,35.59012875556946,35.625010418891904,71.6510900259018,0_examples_with_definition
34,Web,58.88576257228851,26.635394990444183,33.07883360981941,31.919119238853455,69.98120245337486,23.29297563433647,19.888600140810013,19.038446247577667,69.98120245337486,0_examples_without_definition
35,Wikipedia,46.11463963985443,51.17924749309366,52.2147613438693,51.70212929357182,40.821788468144156,52.48797221617265,55.10084676200693,55.589760677380994,55.589760677380994,8_examples_without_definition
