,categories,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Answerability Classification,87.42701183832608,87.31578655659206,88.80283246117253,87.88792953826487,83.1401030742205,84.46435960941017,84.36806961894035,84.10554924048483,88.80283246117253,4_examples_with_definition
1,Cause Effect Classification,84.81577915804726,86.65339507375445,86.21007858003888,86.20068694864001,82.6473469393594,83.3881869997297,83.2588208743504,83.25767254829407,86.65339507375445,2_examples_with_definition
2,Coreference Resolution,84.45417995963778,85.26382937601635,84.42404196943555,84.21297081879207,81.8600617476872,79.85478732415608,77.66976029532296,77.65352461167744,85.26382937601635,2_examples_with_definition
3,Data to Text,84.95898008906225,86.47450995445251,87.19198335707188,87.11315523087978,83.68077535584499,84.64868341386318,84.10262921452522,84.23663827776909,87.19198335707188,4_examples_with_definition
4,Dialogue Act Recognition,83.81876291547503,85.4084233045578,86.16141566208431,85.6956365619387,80.61608246394566,72.54498519216266,74.12997671536037,73.98763986996242,86.16141566208431,4_examples_with_definition
5,Grammar Error Correction,89.6286062002182,92.20924532413483,93.52245354652405,93.43946957588196,85.05114090442657,89.57546865940094,90.05622243881226,90.01673150062561,93.52245354652405,4_examples_with_definition
6,Keyword Tagging,82.54504230022431,83.46063640117646,84.22932124137878,84.0887717962265,82.17086508274079,82.10408248901368,82.24058747291565,82.32202668190003,84.22932124137878,4_examples_with_definition
7,Overlap Extraction,83.72268772125244,84.66711097955704,84.94912606477737,84.28952330350876,85.02734708786011,82.08651268482208,74.69082421064377,75.1598368883133,85.02734708786011,0_examples_without_definition
8,Question Rewriting,86.12543926455758,89.01685845851898,89.93091917037964,90.05309328165922,84.75267669287595,86.15758403864774,86.62110350348733,86.84902868487619,90.05309328165922,8_examples_with_definition
9,Textual Entailment,83.91127958397071,87.86763742069404,87.6501258412997,87.9120450168848,81.34764989713828,80.19793099164963,78.73142950733502,78.95100868741672,87.9120450168848,8_examples_with_definition
10,Title Generation,84.80892407483068,83.71761510997025,84.20635359015121,84.37826789669104,80.09285039446327,82.43269970257316,82.35349308188056,82.18571877508771,84.80892407483068,0_examples_with_definition
11,Word Analogy,82.07174742221832,82.67032167315483,82.51009514927864,82.54132817685604,82.33591911196709,80.88784125447273,80.3795524686575,80.52442476153374,82.67032167315483,2_examples_with_definition
