categories,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Answerability Classification,91.65262551491077,91.65262527649219,91.65262553325066
Cause Effect Classification,87.14484974316188,87.14485137803214,87.14485142912183
Coreference Resolution,88.74558588436672,88.74558668477195,88.7455872126988
Data to Text,86.54712526731088,86.54712519735237,86.54712504344367
Dialogue Act Recognition,88.77855592114585,88.77855556351798,88.77855607441494
Grammar Error Correction,91.2899159193039,91.2899158000946,91.28991639614105
Keyword Tagging,82.8078958272934,82.80789496898652,82.80789616107941
Overlap Extraction,84.47308301925659,84.47308313846588,84.47308313846588
Question Rewriting,89.94242443821646,89.94242443821646,89.94242445989089
Textual Entailment,89.13136696815491,89.1313660244147,89.13136599957943
Title Generation,86.68201706144545,86.68201658460829,86.6820166375902
Word Analogy,87.29432752728462,87.29432708024979,87.29432693123817
