reasoning,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Causal Reasoning,90.60846583545208,90.60846491158009,90.60846514999866
Analogical Reasoning,87.16405137379964,87.1640509499444,87.16405084398058
Commonsense Reasoning,89.69941183328629,89.69941211541494,89.69941171805064
Deductive Reasoning,86.19510215520859,86.19509947299957,86.1950985789299
Abductive Reasoning,87.28409940004349,87.28409951925278,87.28409969806671
Logical Reasoning,96.18955373764038,96.18955779075623,96.1895524263382
Multihop Reasoning,90.60652109365614,90.60651546432858,90.60651494397058
Cross-document Reasoning,91.70269656181335,91.70268946886063,91.70268881320953
Quantitative Reasoning,91.9657381772995,91.96573543548584,91.96573444207509
Temporal Reasoning,92.69485183556874,92.69484714667003,92.69484722614288
