,reasoning,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,,57.7004176561649,38.079959598871376,37.2842760682106,37.90761323158558,67.46866142520538,40.60428465100435,42.643517975623794,42.75742736688027,67.46866142520538,0_examples_without_definition
1,Abductive Reasoning,82.56136643886566,49.56594705581665,51.224172949790955,55.65417438745499,70.67325896024704,12.074866652488708,4.422435879707336,5.260604202747345,82.56136643886566,0_examples_with_definition
2,Analogical Reasoning,82.21334505081177,81.40172751744588,80.45413449075487,81.04016040431128,46.956555684407554,71.22044138113658,50.01738248931037,52.47481367323134,82.21334505081177,0_examples_with_definition
3,Causal Reasoning,45.81561556458473,9.70559637248516,4.9048753678798676,4.526779890060425,41.18812893331051,46.579580664634705,60.10545666515827,59.45460818707943,60.10545666515827,4_examples_without_definition
4,Commonsense Reasoning,65.27663189172745,46.56963471968969,43.848369578520455,42.86902082761129,44.71886386871338,41.971603802839915,37.78286019563675,40.82389750480652,65.27663189172745,0_examples_with_definition
5,Cross-document Reasoning,91.94207227230072,41.20911031961441,78.75943607091904,77.98347640037537,29.85281002521515,66.7566699385643,82.21461397409439,82.41986978054047,91.94207227230072,0_examples_with_definition
6,Deductive Reasoning,43.96497958898544,1.631549596786499,0.0,0.8246818780899048,60.12657833099365,42.56623721122742,42.64104914665222,44.21345502138138,60.12657833099365,0_examples_without_definition
7,Discrete Reasoning,91.94207227230072,41.20911031961441,78.75943607091904,77.98347640037537,29.85281002521515,66.7566699385643,82.21461397409439,82.41986978054047,91.94207227230072,0_examples_with_definition
8,Logical Reasoning,0.0,0.0,0.0,0.0,0.0,23.22824764251709,26.96509039402008,26.591001510620117,26.96509039402008,4_examples_without_definition
9,Multihop Reasoning,90.71074213300433,50.1511311720288,80.23545529161181,79.64540284777445,40.505183499956885,70.31580834161667,82.66639761508458,82.96693904059273,90.71074213300433,0_examples_with_definition
10,Numerical Reasoning,91.94207227230072,41.20911031961441,78.75943607091904,77.98347640037537,29.85281002521515,66.7566699385643,82.21461397409439,82.41986978054047,91.94207227230072,0_examples_with_definition
11,Quantitative Reasoning,49.21313269933065,0.5271873871485392,2.5738736391067505,1.0312777360280354,10.034420053164164,35.05562102794647,66.42323883374532,67.93761670589447,67.93761670589447,8_examples_without_definition
12,Reasoning on Actions,58.44035013516744,32.48397568861643,21.24220649401347,21.84486695130666,74.77179177602132,43.23562637964884,59.12334946791331,56.17773620287577,74.77179177602132,0_examples_without_definition
13,Reasoning on Objects,54.08760583400726,0.0,0.0,0.0,88.86665725708008,0.0,1.9132130146026611,3.829681158065796,88.86665725708008,0_examples_without_definition
14,Reasoning on Social Interactions,55.97738259179251,28.07326819215502,28.556151849882944,27.343636785234725,64.95431898321424,33.12159052916935,38.27271585805075,35.729694434574675,64.95431898321424,0_examples_without_definition
15,Relational Reasoning,80.04261002757333,73.94205684011632,72.61589884757996,73.0179372917522,52.87061203609813,64.45726777206768,46.86972283233296,48.75391363013875,80.04261002757333,0_examples_with_definition
16,Temporal Reasoning,61.29471484820048,27.472740213076275,52.50629071394602,51.98898426691691,32.968703746795654,44.504446625709534,54.80974264939626,54.94657985369364,61.29471484820048,0_examples_with_definition
17,Textual Entailment,37.1901410172383,14.687689731518427,12.270062893629074,11.302657355864843,60.13546713689963,28.24726328253746,26.843118250370026,26.339245200157166,60.13546713689963,0_examples_without_definition
