categories,Gemma-2B,Falcon-2-11B,Gemma-2B-I,Mistral-7B-I,GPT-3.5-T,GPT-4o,DS-2
Answerability Classification,87.88792953826487,88.11675014862648,91.69151023030281,97.30041862451114,98.53172296744127,98.86865268303798,91.78257579069871
Cause Effect Classification,86.20068694864001,87.96447304316929,87.26545752797809,94.39961584976741,95.57767733505794,96.58532498564038,91.58338373047965
Coreference Resolution,84.21297081879207,84.21927728823253,87.99429934365409,95.85193135057177,96.59914422035217,97.98756718635559,93.12044320787702
Data to Text,87.11315523087978,87.50121968984604,87.72172525525093,90.82556232600145,91.55057353872648,91.94090164883036,91.72597324624307
Dialogue Act Recognition,85.6956365619387,86.60263182435718,87.52130430085319,97.0390852178846,96.72732920306069,97.70218813419342,90.996220435415
Grammar Error Correction,93.43946957588196,85.69921123981476,91.26488518714905,95.28507721424103,95.6883739233017,95.79499530792236,94.50871002674103
Keyword Tagging,84.0887717962265,85.99576599597931,86.00985424518585,88.5168167591095,92.07678701877595,91.4295664548874,89.57411441802978
Overlap Extraction,84.28952330350876,84.18812108039856,85.75822567939758,89.84037470817566,90.92845499515533,92.16261667013168,90.03675138950348
Question Rewriting,90.05309328165922,87.58126211166382,89.42834214730696,93.17498169162057,93.96206984736703,94.3703323169188,93.46026182174683
Textual Entailment,87.9120450168848,86.61167784035206,87.32153670986493,97.0211222122113,96.64063794910908,99.04180670281251,89.44110561907291
Title Generation,84.37826789669104,86.20726168840781,86.58892846744479,89.38022324774,88.86224371857114,90.0079088807106,88.94976630475786
Word Analogy,82.54132817685604,80.66287171840668,88.35029691457748,88.91220094263554,94.84633103013039,97.3701431453228,88.43704655766487
